intersections	protein
rbohC-rbohF-WT	O49652
rbohC-rbohF-WT	Q9SKC1
rbohC-rbohF-WT	P50700
rbohC-rbohF-WT	O82264
rbohC-rbohF-WT	O81888
rbohC-rbohF-WT	O04193
rbohC-rbohF-WT	Q9FX85
rbohC-rbohF-WT	F4JLY4
rbohC-rbohF-WT	Q84JE8
rbohC-rbohF-WT	Q9SUT2
rbohC-rbohF-WT	Q9LMA1
rbohC-rbohF-WT	Q501E6
rbohC-rbohF-WT	O82659
rbohC-rbohF-WT	A8MQL8
rbohC-rbohF-WT	Q9M1Q4
rbohC-rbohF-WT	A0A1P8B3U2
rbohC-rbohF-WT	O48723
rbohC-rbohF-WT	O23264
rbohC-rbohF-WT	Q9ZV49
rbohC-rbohF-WT	O23547
rbohC-rbohF-WT	Q9FKH6
rbohC-rbohF-WT	P02663
rbohC-rbohF-WT	Q8VZK9
rbohC-rbohF	Q8LDK5
rbohC-rbohF	Q9LD40
rbohC-rbohF	Q501F8
rbohC-rbohF	O64380
rbohC-rbohF	Q1PE83
rbohC-rbohF	Q9SLG3
rbohC-rbohF	Q38896
rbohC-rbohF	A0A178UE66
rbohC-rbohF	F4IUJ7
rbohC-rbohF	Q9SH31
rbohC-rbohF	F4JN13
rbohC-rbohF	Q3MK94
rbohC-rbohF	Q1H595
rbohC-rbohF	Q94K76
rbohC-rbohF	Q9FLD5
rbohC-rbohF	Q9LM78
rbohC-rbohF	Q949Z2
rbohC-rbohF	Q9FXB0
rbohC-rbohF	Q9LK88
rbohC-rbohF	Q9FN75
rbohC-rbohF	Q9FN19
rbohC-rbohF	Q39219
rbohC-rbohF	A0A1P8B9Z4
rbohC-rbohF	O82504
rbohC-rbohF	O49596
rbohC-rbohF	Q9SDM9
rbohC-rbohF	Q5XEZ1
rbohC-rbohF	Q7FB56
rbohC-rbohF	F4I1Z0
rbohC-rbohF	Q9T019
rbohC-rbohF	F4J865
rbohC-rbohF	Q56YT0
rbohC-rbohF	Q8GY58
rbohC-rbohF	Q9SHH6
rbohC-WT	Q9FNA3
rbohC-WT	Q9FMK7
rbohC-WT	F4IUN0
rbohC-WT	Q9LDH3
rbohC-WT	Q8LA16
rbohC-WT	Q8VY27
rbohC-WT	Q9M7K4
rbohC-WT	Q94C74
rbohC-WT	Q9XI90
rbohC-WT	Q9CAV7
rbohC-WT	Q0WTB4
rbohC-WT	Q9CAH5
rbohC-WT	Q9C8G6
rbohC-WT	Q8W4J9
rbohC-WT	O81488
rbohC-WT	Q9SZJ5
rbohC-WT	Q9M2H7
rbohC-WT	Q8L607
rbohC-WT	A0A1P8BDS3
rbohC-WT	Q4V3C8
rbohC-WT	Q0WTF4
rbohC-WT	Q9SY76
rbohC-WT	F4IHR4
rbohC-WT	O65787
rbohC-WT	F4JZQ4
rbohC-WT	Q43731
rbohC-WT	F4IN63
rbohF-WT	Q9ZQ38
rbohF-WT	Q9SX79
rbohF-WT	Q8GXC5
rbohF-WT	A0A2H1ZE50
rbohF-WT	Q9LZG4
rbohF-WT	F4JY73
rbohF-WT	P02666
rbohF-WT	F4IZ80
rbohF-WT	Q7PC85
rbohF-WT	O49340
rbohF-WT	Q9LII1
