Protein.ID	intersections	location_membrane
Q501E6	rbohC-rbohF-WT	Cell membrane
Q9LD40	rbohC-rbohF	Cell membrane
Q9SLG3	rbohC-rbohF	Cell membrane
Q9LK88	rbohC-rbohF	Cell membrane
Q9M7K4	rbohC-WT	Cell membrane
Q9CAH5	rbohC-WT	Cell membrane
Q8W4J9	rbohC-WT	Cell membrane
F4IZ80	rbohF-WT	Cell membrane
Q9LFG1	rbohF-WT	Cell membrane
Q9MAX3	rbohF-WT	Cell membrane
Q94AZ2	rbohF-WT	Cell membrane
Q9FE29	rbohF-WT	Cell membrane
P93046	rbohF-WT	Cell membrane
O48963	rbohF-WT	Cell membrane
Q9ZU91	rbohF-WT	Cell membrane
Q9LFV3	rbohF-WT	Cell membrane
O64783	rbohC	Cell membrane
Q96303	rbohC	Cell membrane
Q9LSD8	rbohC	Cell membrane
Q9SJE9	rbohC	Cell membrane
Q9FIM9	rbohC	Cell membrane
Q8RY65	rbohC	Cell membrane
O82628	rbohC	Cell membrane
Q9FE79	rbohC	Cell membrane
Q9ZW09	rbohC	Cell membrane
P92949	rbohC	Cell membrane
Q38856	rbohC	Cell membrane
Q941L3	rbohC	Cell membrane
Q38873	rbohC	Cell membrane
Q9FGK5	rbohC	Cell membrane
Q9SJ81	rbohC	Cell membrane
Q8L778	rbohC	Cell membrane
A0A1P8AZV7	rbohC	Cell membrane
Q9M0A4	rbohC	Cell membrane
Q9LZX4	rbohC	Cell membrane
F4IIM1	rbohC	Cell membrane
Q93VD3	rbohC	Cell membrane
Q8L7E9	rbohC	Cell membrane
Q8GXN2	rbohF	Cell membrane
Q9SNA3	rbohF	Cell membrane
Q9FGL5	rbohF	Cell membrane
Q9SF86	rbohF	Cell membrane
F4JPX3	rbohF	Cell membrane
Q9SIH4	rbohF	Cell membrane
P47735	rbohF	Cell membrane
Q8VYE5	rbohF	Cell membrane
Q9SII6	rbohF	Cell membrane
Q9S9U1	rbohF	Cell membrane
Q9FY75	rbohF	Cell membrane
Q8LPL2	rbohF	Cell membrane
P21276	rbohF	Cell membrane
F4K6B8	rbohF	Cell membrane
Q9CAX3	rbohF	Cell membrane
Q6R8G7	rbohF	Cell membrane
Q39214	rbohF	Cell membrane
Q9SU64	rbohF	Cell membrane
Q9SJ52	rbohF	Cell membrane
F4HWL3	rbohF	Cell membrane
F4JN35	rbohF	Cell membrane
F4JHN2	WT	Cell membrane
Q84MA9	WT	Cell membrane
Q9FHN6	WT	Cell membrane
F4IB81	WT	Cell membrane
Q84VZ5	WT	Cell membrane
Q9ZPS9	WT	Cell membrane
Q94AI6	WT	Cell membrane
Q9FKM2	WT	Cell membrane
Q9SYQ8	WT	Cell membrane
Q8VZ80	WT	Cell membrane
Q8VZF6	WT	Cell membrane
F4J0D2	WT	Cell membrane
Q9FKS8	WT	Cell membrane
C0LGQ9	WT	Cell membrane
Q9SIL7	WT	Cell membrane
Q9SQG2	WT	Cell membrane
O23006	WT	Cell membrane
Q8W4I4	WT	Cell membrane
Q9C9Z9	WT	Cell membrane
Q9SN38	WT	Cell membrane
Q42342	WT	Cell membrane
A0A219HZH3	rbohC	Chloroplast membrane
F4J3N2	rbohC	Chloroplast membrane
P42804	rbohF	Chloroplast membrane
P10795	rbohF	Chloroplast membrane
P21276	rbohF	Chloroplast membrane
P25857	WT	Chloroplast membrane
Q7X6P3	WT	Chloroplast membrane
