intersections	protein
rbohC-rbohF-WT	Q9SKC1
rbohC-rbohF-WT	O04193
rbohC-rbohF-WT	A8MQL8
rbohC-rbohF-WT	P02663
rbohC-rbohF	Q501F8
rbohC-rbohF	O64380
rbohC-rbohF	Q9SLG3
rbohC-rbohF	O82264
rbohC-rbohF	A0A178UE66
rbohC-rbohF	F4IUJ7
rbohC-rbohF	Q9SH31
rbohC-rbohF	Q3MK94
rbohC-rbohF	Q9LM78
rbohC-rbohF	Q9FXB0
rbohC-rbohF	Q7FB56
rbohC-rbohF	F4I1Z0
rbohC-rbohF	Q56YT0
rbohC-WT	Q9FMK7
rbohC-WT	Q8LA16
rbohC-WT	O81488
rbohC-WT	Q4V3C8
rbohF-WT	Q9SX79
rbohF-WT	Q8GXC5
rbohF-WT	P02666
rbohF-WT	Q7PC85
rbohF-WT	Q9LII1
rbohF-WT	F4I0N7
rbohF-WT	F4JWQ4
rbohF-WT	P93046
rbohF-WT	F4K4E3
rbohF-WT	P11832
rbohF-WT	O48963
rbohF-WT	Q9ZU91
rbohF-WT	O22718
rbohC	F4K265
rbohC	Q9FNA3
rbohC	A0A1P8AQC9
rbohC	O64783
rbohC	Q6ICW8
rbohC	F4IUN0
rbohC	A0A1P8B9C1
rbohC	A0A1P8AY30
rbohC	O23357
rbohC	Q8L517
rbohC	Q96303
rbohC	Q9LSD8
rbohC	Q66GP5
rbohC	Q9SI67
rbohC	A0A1I9LLC5
rbohC	F4JQE9
rbohC	Q9SJE9
rbohC	Q9T0F7
rbohC	Q9LDH3
rbohC	O48726
rbohC	Q8H1Q4
rbohC	P55852
rbohC	Q9LJ42
rbohC	Q9FG65
rbohC	F4J1N5
rbohC	Q8VY27
rbohC	Q8L9Y2
rbohC	Q9FIM9
rbohC	Q38950
rbohC	B9DFS6
rbohC	Q8H1E1
rbohC	Q8GUN7
rbohC	Q9FMU5
rbohC	O22807
rbohC	Q9C950
rbohC	O64651
rbohC	Q9LUD4
rbohC	Q9M1J9
rbohC	Q0WTB4
rbohC	A0A1P8B5K3
rbohC	Q8LC40
rbohC	F4K627
rbohC	Q9C8G6
rbohC	Q84TE2
rbohC	Q9FE79
rbohC	Q9FGT3
rbohC	F4K124
rbohC	Q93WF1
rbohC	Q9M173
rbohC	Q9SHZ5
rbohC	Q8W4J9
rbohC	Q9FJB5
rbohC	F4KDD7
rbohC	Q9M339
rbohC	Q9C5M8
rbohC	F4I7P0
rbohC	P92949
rbohC	O48520
rbohC	Q8W4S6
rbohC	Q9SGA6
rbohC	Q93YU8
rbohC	Q38856
rbohC	Q9FZ80
rbohC	Q9M1E4
rbohC	Q9M1Q4
rbohC	Q8L607
rbohC	O22270
rbohC	Q9M047
rbohC	P48623
rbohC	Q0WNC2
rbohC	P93313
rbohC	Q9SZ21
rbohC	F4JI14
rbohC	Q0WTF4
rbohC	Q84K05
rbohC	P0CJ46
rbohC	Q9LK88
rbohC	Q9FGK5
rbohC	Q9SJ81
rbohC	Q9FZH0
rbohC	Q9STX2
rbohC	P38666
rbohC	Q8L778
rbohC	Q949U9
rbohC	A0A1P8AZV7
rbohC	O82266
rbohC	O23049
rbohC	Q9XEX2
rbohC	F4JCX1
rbohC	Q9M0A4
rbohC	F4JL28
rbohC	Q0WUR5
rbohC	Q9FJA6
rbohC	C0Z2J1
rbohC	Q9M9N1
rbohC	Q8RVQ9
rbohC	F4HTY0
rbohC	O23596
rbohC	A8MQR2
rbohC	Q9SF87
rbohC	O81806
rbohC	F4IIM1
rbohC	Q8L9L9
rbohC	F4JGB4
rbohC	F4J7G5
rbohC	Q5HZ38
rbohC	Q9SKU2
rbohC	E0X9N4
rbohC	Q5XEZ1
rbohC	Q945Q1
rbohC	Q9SMX1
rbohC	A0A178VUM7
rbohC	Q93VD3
rbohC	Q8RWW8
rbohC	A0A1P8BEK7
rbohC	A0A1P8AYP0
rbohC	Q9S9P0
rbohC	Q9FL51
rbohC	Q9LET7
rbohC	O23177
rbohC	Q9T019
rbohC	F4JKB6
rbohC	Q9SCV8
rbohC	Q9LZI9
rbohC	Q9C6L5
rbohC	Q0WVH0
rbohC	Q9FRS7
rbohC	F4J3N2
rbohC	Q8GY58
rbohC	Q9SAZ5
rbohC	F4IE17
rbohC	Q9SJA1
rbohC	Q9SVZ6
rbohC	O03042
rbohC	Q9FLX9
rbohC	Q84J77
rbohC	Q8L7E9
rbohC	Q41951
rbohF	Q1H595
rbohF	Q949P3
rbohF	Q0WT40
rbohF	Q8L8Q8
rbohF	Q8RXV4
rbohF	Q9FKV1
rbohF	Q0WKV3
rbohF	Q9SJU4
rbohF	Q944G9
rbohF	Q9LFH5
rbohF	A0A1P8B4V5
rbohF	Q9LZQ3
rbohF	Q84M89
rbohF	Q9FJ90
rbohF	Q9FZ82
rbohF	Q9FV70
rbohF	Q9LZG4
rbohF	P13114
rbohF	Q9SUQ3
rbohF	F4JY73
rbohF	A8MS85
rbohF	Q8VZ75
rbohF	Q9LHR4
rbohF	Q6NQ63
rbohF	Q9ZTP3
rbohF	A0A1P8AZ96
rbohF	A0A1P8BBP4
rbohF	Q8L5Y9
rbohF	Q8W4E1
rbohF	Q9FKN5
rbohF	Q9LXG8
rbohF	C0Z2A9
rbohF	Q9FJF1
rbohF	Q9SZ46
rbohF	Q9FLP0
rbohF	Q9LVT8
rbohF	Q9STF7
rbohF	Q9LHG9
rbohF	Q9SSB7
rbohF	F4HWC3
rbohF	Q9FT97
rbohF	Q94F20
rbohF	Q9FGV4
rbohF	Q43872
rbohF	O64884
rbohF	Q8GUQ8
rbohF	Q949Z2
rbohF	Q9SIH4
rbohF	Q1ECK2
rbohF	Q9SLA7
rbohF	Q9SS48
rbohF	O23593
rbohF	O23523
rbohF	Q1ECF5
rbohF	Q0WLY0
rbohF	Q940H3
rbohF	Q9FG91
rbohF	Q8GWA5
rbohF	Q9XIW1
rbohF	Q84L31
rbohF	Q8L7Y9
rbohF	Q9FMP0
rbohF	F4HV67
rbohF	Q9FG37
rbohF	Q8GX94
rbohF	O23264
rbohF	Q9SRV5
rbohF	Q9SLM8
rbohF	A0A1P8AZD5
rbohF	Q9LEX5
rbohF	Q8RXF2
rbohF	P60300
rbohF	Q8VZJ9
rbohF	O24658
rbohF	O82504
rbohF	Q9FKT4
rbohF	Q9SR71
rbohF	Q9FFE9
rbohF	Q9LV23
rbohF	Q9S7U3
rbohF	Q9FFP8
rbohF	Q6NLP2
rbohF	Q9FZJ1
rbohF	P19172
rbohF	P42804
rbohF	Q9LU46
rbohF	Q84K84
rbohF	Q93W30
rbohF	Q9FY71
rbohF	Q6NLH7
rbohF	A0A178V841
rbohF	Q9M2U5
rbohF	Q8W1Y3
rbohF	Q9FJ32
rbohF	P10795
rbohF	Q9FEA2
rbohF	O80704
rbohF	F4KC69
rbohF	Q9LIB9
rbohF	F4K5M5
rbohF	Q9CAD6
rbohF	Q9FIA1
rbohF	P57750
rbohF	A0A1P8B5S3
rbohF	Q8GW64
rbohF	Q9LVA5
rbohF	Q9LVE2
rbohF	Q8GUH1
rbohF	Q9LFX3
rbohF	F4IXH3
rbohF	Q8LPL2
rbohF	F4I3G8
rbohF	Q8VYR3
rbohF	Q9C9U9
rbohF	Q9ZUL7
rbohF	Q9LTL8
rbohF	F4K6B8
rbohF	Q9FWS4
rbohF	Q9CAX3
rbohF	Q96330
rbohF	Q9FE06
rbohF	Q9LTT3
rbohF	Q39100
rbohF	Q9LTD8
rbohF	Q9M3C8
rbohF	O22224
rbohF	Q9M123
rbohF	Q8LEZ4
rbohF	F4JD91
rbohF	Q9SFF6
rbohF	Q9CA59
rbohF	F4I4K5
rbohF	O82656
rbohF	Q39214
rbohF	A0A1P8B6W3
rbohF	P02668
rbohF	Q9FJY1
rbohF	Q9FXB8
rbohF	O49394
rbohF	Q66GR1
rbohF	Q9LZ25
rbohF	Q9LEQ9
rbohF	Q8W103
