intersections	protein
rbohC-rbohF-WT	O49652
rbohC-rbohF-WT	P50700
rbohC-rbohF-WT	O81888
rbohC-rbohF-WT	Q9FX85
rbohC-rbohF-WT	F4JLY4
rbohC-rbohF-WT	Q9SUT2
rbohC-rbohF-WT	Q9LMA1
rbohC-rbohF-WT	Q501E6
rbohC-rbohF-WT	O82659
rbohC-rbohF-WT	A0A1P8B3U2
rbohC-rbohF-WT	O48723
rbohC-rbohF-WT	Q9ZV49
rbohC-rbohF-WT	O23547
rbohC-rbohF-WT	Q9FKH6
rbohC-rbohF-WT	Q8VZK9
rbohC-rbohF	Q8LDK5
rbohC-rbohF	Q9LD40
rbohC-rbohF	Q1PE83
rbohC-rbohF	Q38896
rbohC-rbohF	Q84JE8
rbohC-rbohF	F4JN13
rbohC-rbohF	Q94K76
rbohC-rbohF	Q9FLD5
rbohC-rbohF	Q9FN75
rbohC-rbohF	Q9FN19
rbohC-rbohF	Q39219
rbohC-rbohF	A0A1P8B9Z4
rbohC-rbohF	O49596
rbohC-rbohF	Q9SDM9
rbohC-rbohF	Q9SHH6
rbohC-WT	Q9M7K4
rbohC-WT	Q94C74
rbohC-WT	Q9CAH5
rbohC-WT	Q9SZJ5
rbohC-WT	A0A1P8BDS3
rbohC-WT	O23264
rbohC-WT	Q9SY76
rbohC-WT	F4IHR4
rbohC-WT	O65787
rbohC-WT	F4JZQ4
rbohC-WT	Q43731
rbohC-WT	F4IN63
rbohF-WT	Q9ZQ38
rbohF-WT	O49340
rbohF-WT	B3H5W6
rbohF-WT	A0A1I9LN67
rbohF-WT	Q9M1Q4
rbohF-WT	O80823
rbohF-WT	Q9LW27
rbohF-WT	P19171
rbohF-WT	Q9C5U2
rbohF-WT	O64718
rbohF-WT	Q9C911
rbohF-WT	Q8LGA5
rbohF-WT	Q43387
rbohF-WT	Q9MAX3
rbohF-WT	Q9SH66
rbohF-WT	Q94AZ2
rbohF-WT	Q9FE29
rbohF-WT	F4K6P2
rbohF-WT	Q6NMS0
rbohF-WT	Q9SRY5
rbohF-WT	P42760
rbohF-WT	P92995
rbohF-WT	Q9FNG3
rbohF-WT	Q9LFV3
rbohC	A0A1P8ATG5
rbohC	Q9ZVX3
rbohC	Q9SA25
rbohC	O22254
rbohC	O22241
rbohC	Q9SEZ9
rbohC	Q9SJD4
rbohC	F4KHL6
rbohC	Q3E7C8
rbohC	Q84W43
rbohC	O64580
rbohC	A0A1P8BEE3
rbohC	Q9SJ96
rbohC	Q9C5I1
rbohC	Q8H1F1
rbohC	Q9LTI5
rbohC	P02769
rbohC	Q9FG54
rbohC	F4HPA7
rbohC	A8MR92
rbohC	Q8W4C8
rbohC	Q9CAL3
rbohC	Q9SLV3
rbohC	Q8L7T5
rbohC	Q9XIM7
rbohC	Q8RY65
rbohC	Q9C5M5
rbohC	Q9SJA6
rbohC	Q9XI90
rbohC	Q9LJG8
rbohC	A0A1P8APR1
rbohC	Q9CAV7
rbohC	Q8W0Z1
rbohC	Q8LCE1
rbohC	Q67XP8
rbohC	P00883
rbohC	O82628
rbohC	Q39079
rbohC	P0CW98
rbohC	O80695
rbohC	Q9XI91
rbohC	Q9ZW09
rbohC	Q1H595
rbohC	Q9SAH5
rbohC	Q41188
rbohC	Q9XID0
rbohC	A0A219HZH3
rbohC	P93043
rbohC	F4K3X8
rbohC	Q06588
rbohC	Q9SXC0
rbohC	B9DFU2
rbohC	Q7G193
rbohC	Q0WVJ5
rbohC	Q9CAI3
