intersections	protein
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8L7T5
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C5M5
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C950
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4JN13
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8W4S6
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P10798
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O23264
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FN19
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P92980
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8RWW8
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8BEK7
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P02663
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IEC7
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IN63
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9FNA3
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9ZVX3
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9LDH3
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q8H1F1
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	O82264
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q8VY27
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q0WTB4
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9ZW09
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	F4JUL9
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9LZQ7
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q38856
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q8L607
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q4V3C8
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q94AD1
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q0WTF4
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	A0A1P8AZV7
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q67Z52
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9SGA5
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9FRS7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9M9M4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8L5Y9
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q43314
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LZQ3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9ZTP3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P59277
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q93VI4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P02666
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FJL8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6NQ63
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4HXP0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4I854
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A8MRM0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FI98
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O23402
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FZ82
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LZP5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SRQ4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C5U8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IZ80
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q3EDE7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9XI29
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4J153
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P13114
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A2H1ZEJ0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4K567
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FFK6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q93ZE8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SE96
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O81210
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FLP0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SRV5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IV99
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q7XJN0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9ZU40
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8AXP2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8AQR8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8W4M5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8AUM2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8LLD0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4HWC3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IXH3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C562
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8LCV1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FKN5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q93ZU3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P0C1T5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P54969
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FT97
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SKD7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8L7B1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SCS8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O22757
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O81644
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q43729
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	B9DH36
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1I9LP30
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LIA2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P14713
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LVT8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SD53
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A8MRY1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1I9LMD3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6NLP2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q1ECK2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9ZVJ6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q680P8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8VYK6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O22164
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FIG9
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q42560
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FG37
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6NKQ6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8GUQ8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P31168
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6ID99
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8GUP1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LF97
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C5U2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P57720
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LS01
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O80925
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8S403
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8RXF2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8GW64
