intersections	protein
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8RWW8
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P02663
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q4V3C8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8L5Y9
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LZQ3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9ZTP3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P02666
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6NQ63
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4HXP0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4I854
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A8MRM0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FI98
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O23402
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FZ82
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LZP5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C5U8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P13114
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4K567
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q93ZE8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SE96
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O81210
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FLP0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SRV5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9ZU40
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8AQR8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8W4M5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8AUM2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4HWC3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IXH3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FKN5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q93ZU3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8L7T5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P0C1T5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FT97
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SCS8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q43729
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P92980
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1I9LP30
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LIA2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P14713
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LVT8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SD53
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6NLP2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q1ECK2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q680P8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8VYK6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O22164
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FIG9
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q42560
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FG37
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8GUQ8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P31168
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4JN13
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8GUP1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P57720
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LS01
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O80925
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8S403
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8RXF2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8GW64
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O82647
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8B4A4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IEC7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C5M5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LU46
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O80612
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FME5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9M3D2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q42403
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8B183
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P10798
rbohC - WT (CTRL)	Q9ZVX3
rbohC - WT (CTRL)	Q8GYU3
rbohC - WT (CTRL)	Q941F1
rbohC - WT (CTRL)	Q9LQZ4
rbohC - WT (CTRL)	A0A1P8B3K8
rbohC - WT (CTRL)	O64862
rbohC - WT (CTRL)	Q9SRE4
rbohC - WT (CTRL)	Q9M8K3
rbohC - WT (CTRL)	Q56YA5
rbohC - WT (CTRL)	Q8L466
rbohC - WT (CTRL)	A0A1P8ATB0
rbohC - WT (CTRL)	Q2V3E2
rbohC - WT (CTRL)	Q9FJK7
rbohC - WT (CTRL)	A0A1P8AXX8
rbohC - WT (CTRL)	F4IUD7
rbohC - WT (CTRL)	Q9FHN2
rbohC - WT (CTRL)	Q9SKI2
rbohC - WT (CTRL)	Q9S7M9
rbohC - WT (CTRL)	Q8L719
rbohC - WT (CTRL)	F4IWW1
rbohC - WT (CTRL)	Q9LXX6
rbohC - WT (CTRL)	A9X4U2
rbohC - WT (CTRL)	Q9SVC2
rbohC - WT (CTRL)	Q9FXA2
rbohC - WT (CTRL)	Q9M0A0
rbohC - WT (CTRL)	A0A1P8B6J9
rbohC - WT (CTRL)	A0A1P8B863
rbohC - WT (CTRL)	Q39230
rbohC - WT (CTRL)	O65398
rbohC - WT (CTRL)	Q93V58
rbohC - WT (CTRL)	Q9LMK7
rbohC - WT (CTRL)	Q9LII9
rbohC - WT (CTRL)	Q8VZ80
rbohC - WT (CTRL)	Q4V3A2
rbohC - WT (CTRL)	Q9FR95
rbohC - WT (CTRL)	Q9SIL6
rbohC - WT (CTRL)	F4K1S1
rbohC - WT (CTRL)	Q8H1F1
rbohC - WT (CTRL)	Q9MAB2
rbohC - WT (CTRL)	Q93ZR3
rbohC - WT (CTRL)	Q4PSX0
rbohC - WT (CTRL)	Q9FKS8
rbohC - WT (CTRL)	Q42534
rbohC - WT (CTRL)	Q7X6P3
rbohC - WT (CTRL)	F4JXW2
rbohC - WT (CTRL)	F4IQ05
rbohC - WT (CTRL)	Q8LDQ4
rbohC - WT (CTRL)	Q8GXY6
rbohC - WT (CTRL)	Q9LMS7
rbohC - WT (CTRL)	Q9XI07
rbohC - WT (CTRL)	C0LGJ9
rbohC - WT (CTRL)	P93031
rbohC - WT (CTRL)	Q8RX89
rbohC - WT (CTRL)	F4JKM2
rbohC - WT (CTRL)	Q681W7
rbohC - WT (CTRL)	F4IIG3
rbohC - WT (CTRL)	Q84WW2
rbohC - WT (CTRL)	Q9LJX4
rbohC - WT (CTRL)	Q9LZQ7
rbohC - WT (CTRL)	Q9LFT3
rbohC - WT (CTRL)	Q9LPL6
rbohC - WT (CTRL)	Q9SZP6
rbohC - WT (CTRL)	Q8VZL1
rbohC - WT (CTRL)	Q9LUJ5
rbohC - WT (CTRL)	Q94AM8
rbohC - WT (CTRL)	B9DFZ2
rbohC - WT (CTRL)	Q0WW84
rbohC - WT (CTRL)	P0CB23
rbohC - WT (CTRL)	P49040
rbohC - WT (CTRL)	O23006
rbohC - WT (CTRL)	Q9LU41
rbohC - WT (CTRL)	Q9LM76
rbohC - WT (CTRL)	Q9C587
rbohC - WT (CTRL)	F4I962
rbohC - WT (CTRL)	Q9STT2
rbohC - WT (CTRL)	O48963
rbohC - WT (CTRL)	Q7XA68
rbohC - WT (CTRL)	F4JM19
rbohC - WT (CTRL)	P93655
rbohC - WT (CTRL)	F4ITF9
rbohC - WT (CTRL)	Q9M1E5
rbohC - WT (CTRL)	F4JNM2
rbohC - WT (CTRL)	P94111
rbohC - WT (CTRL)	Q9ZW84
rbohC - WT (CTRL)	O22911
rbohC - WT (CTRL)	F4K5B9
rbohC - WT (CTRL)	Q96329
rbohC - WT (CTRL)	Q9SVZ8
rbohC - WT (CTRL)	O22854
rbohC - WT (CTRL)	F4INU4
rbohC - WT (CTRL)	Q9FE78
rbohC - WT (CTRL)	A0A2H1ZE60
rbohC - WT (CTRL)	Q9SL02
rbohC - WT (CTRL)	Q9FFK1
rbohC - WT (CTRL)	Q9LM13
rbohC - WT (CTRL)	Q96253
rbohC - WT (CTRL)	Q9ZW09
rbohC - WT (CTRL)	Q9ZPS9
rbohC - WT (CTRL)	Q9CAT7
rbohC - WT (CTRL)	Q9SEE5
rbohC - WT (CTRL)	Q9FFF3
rbohC - WT (CTRL)	Q9SCS3
rbohC - WT (CTRL)	Q9LZV3
rbohC - WT (CTRL)	Q9SK39
rbohC - WT (CTRL)	P35510
rbohC - WT (CTRL)	Q67Z52
rbohC - WT (CTRL)	Q9S7P9
rbohC - WT (CTRL)	Q8LAD0
rbohC - WT (CTRL)	Q9LUV2
rbohC - WT (CTRL)	Q9S7G6
rbohC - WT (CTRL)	Q9C9Z9
rbohC - WT (CTRL)	Q9SLK0
rbohC - WT (CTRL)	Q0WM29
rbohC - WT (CTRL)	P30366
rbohC - WT (CTRL)	O23393
rbohC - WT (CTRL)	Q9LU97
rbohC - WT (CTRL)	A0A1P8BFZ5
rbohC - WT (CTRL)	F4HSX1
rbohC - WT (CTRL)	Q9FJB4
rbohC - WT (CTRL)	Q8L860
rbohC - WT (CTRL)	Q0WRF4
rbohC - WT (CTRL)	Q9FWW5
rbohC - WT (CTRL)	Q945K9
rbohC - WT (CTRL)	Q8RX22
rbohC - WT (CTRL)	Q9LF41
rbohC - WT (CTRL)	Q9ZW33
rbohC - WT (CTRL)	P35614
rbohC - WT (CTRL)	F4K2Y3
rbohC - WT (CTRL)	Q94AD1
rbohC - WT (CTRL)	Q0WML0
rbohC - WT (CTRL)	Q6NQ66
rbohC - WT (CTRL)	Q9SSP5
rbohC - WT (CTRL)	P29513
rbohC - WT (CTRL)	O82811
rbohC - WT (CTRL)	F4K4E3
rbohC - WT (CTRL)	O22151
rbohC - WT (CTRL)	O80852
rbohC - WT (CTRL)	Q8LG70
rbohC - WT (CTRL)	Q9M1Q0
rbohC - WT (CTRL)	Q9LW57
rbohC - WT (CTRL)	Q9S752
rbohC - WT (CTRL)	Q8W5R6
rbohC - WT (CTRL)	O04848
rbohC - WT (CTRL)	Q9FGK8
rbohC - WT (CTRL)	Q42484
rbohC - WT (CTRL)	F4JXV9
rbohC - WT (CTRL)	P43293
rbohC - WT (CTRL)	F4I0N7
rbohC - WT (CTRL)	A0A1P8BB55
rbohC - WT (CTRL)	Q9SKC9
rbohC - WT (CTRL)	F4JUL9
rbohC - WT (CTRL)	Q6ICY4
rbohC - WT (CTRL)	Q8S8T4
rbohC - WT (CTRL)	A0A1R7T3D6
rbohC - WT (CTRL)	O23254
rbohC - WT (CTRL)	P58050
rbohC - WT (CTRL)	Q8GYQ9
rbohC - WT (CTRL)	Q5Q0E2
rbohC - WT (CTRL)	Q94C60
rbohC - WT (CTRL)	P46645
rbohC - WT (CTRL)	F4KEW8
rbohC - WT (CTRL)	Q94AW9
