intersections	protein
rbohC (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FN19
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	O23264
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	Q9SGA5
rbohC (Cd - CTRL)-rbohC - WT (CTRL)	F4IN63
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9M9M4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q43314
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P59277
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q93VI4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FJL8
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SRQ4
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IZ80
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q3EDE7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9XI29
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4J153
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A2H1ZEJ0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FFK6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4IV99
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q7XJN0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8AXP2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8LLD0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C562
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8LCV1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	P54969
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9SKD7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8W4S6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8L7B1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O22757
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	O81644
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	B9DH36
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A8MRY1
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1I9LMD3
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C950
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9ZVJ6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6NKQ6
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8BEK7
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q6ID99
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9LF97
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C5U2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9C9U9
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q9FT88
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q39141
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4ISN0
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	F4K6P2
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	A0A1P8B9D5
rbohF - rbohC (CTRL)-rbohC - WT (CTRL)	Q8H1Q6
rbohC - WT (CTRL)	B6ETT4
rbohC - WT (CTRL)	F4JHN2
rbohC - WT (CTRL)	Q9LR75
rbohC - WT (CTRL)	Q9CAD8
rbohC - WT (CTRL)	Q3EDL4
rbohC - WT (CTRL)	F4JXH8
rbohC - WT (CTRL)	A0A1P8AY74
rbohC - WT (CTRL)	Q9C8J4
rbohC - WT (CTRL)	Q9XIP8
rbohC - WT (CTRL)	Q9FNA3
rbohC - WT (CTRL)	Q9XIQ1
rbohC - WT (CTRL)	Q8L607
rbohC - WT (CTRL)	A0A1P8BDF4
rbohC - WT (CTRL)	Q6NMN6
rbohC - WT (CTRL)	F4IL57
rbohC - WT (CTRL)	F4IW47
rbohC - WT (CTRL)	Q9SUT5
rbohC - WT (CTRL)	O82491
rbohC - WT (CTRL)	Q8LAZ7
rbohC - WT (CTRL)	Q8L7U5
rbohC - WT (CTRL)	Q8L831
rbohC - WT (CTRL)	F4HRS2
rbohC - WT (CTRL)	Q8RWN2
rbohC - WT (CTRL)	Q8VY01
rbohC - WT (CTRL)	Q9C5L6
rbohC - WT (CTRL)	P17597
rbohC - WT (CTRL)	F4I7I0
rbohC - WT (CTRL)	Q94AI6
rbohC - WT (CTRL)	F4IDB2
rbohC - WT (CTRL)	Q7XA86
rbohC - WT (CTRL)	Q9FHA3
rbohC - WT (CTRL)	Q9FEA2
rbohC - WT (CTRL)	F4K4D6
rbohC - WT (CTRL)	Q8RWY3
rbohC - WT (CTRL)	Q7PC79
rbohC - WT (CTRL)	Q93YQ5
rbohC - WT (CTRL)	O82251
rbohC - WT (CTRL)	O80625
rbohC - WT (CTRL)	Q8W496
rbohC - WT (CTRL)	Q9FIC6
rbohC - WT (CTRL)	Q8VWF5
rbohC - WT (CTRL)	Q8VY20
rbohC - WT (CTRL)	Q0WL52
rbohC - WT (CTRL)	Q9ZSU4
rbohC - WT (CTRL)	A0A1P8B137
rbohC - WT (CTRL)	Q9LDH3
rbohC - WT (CTRL)	Q93Z53
rbohC - WT (CTRL)	Q941R7
rbohC - WT (CTRL)	Q9LR65
rbohC - WT (CTRL)	O22873
rbohC - WT (CTRL)	Q38856
rbohC - WT (CTRL)	Q8VY27
rbohC - WT (CTRL)	Q84VZ5
rbohC - WT (CTRL)	O80585
rbohC - WT (CTRL)	Q9LTS6
rbohC - WT (CTRL)	Q5XV72
rbohC - WT (CTRL)	Q9FKM2
rbohC - WT (CTRL)	Q9SIU2
rbohC - WT (CTRL)	Q9LYD8
rbohC - WT (CTRL)	A0A1P8B454
rbohC - WT (CTRL)	O22287
rbohC - WT (CTRL)	A0A1P8ARR3
rbohC - WT (CTRL)	Q9MAX3
rbohC - WT (CTRL)	A0A1P8AUA2
rbohC - WT (CTRL)	Q0WTF4
rbohC - WT (CTRL)	Q9LUE5
rbohC - WT (CTRL)	Q9M3B8
rbohC - WT (CTRL)	Q9SU83
