intersections	protein
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q1H595
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LYG5
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O80713
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LME7
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	A8MS85
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IZ80
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9ZVL3
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q94K76
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	C0Z2A9
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q6NLY8
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SZ46
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LHG9
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FGV4
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q949Z2
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SIH4
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SLA7
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SS48
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FVV7
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FG91
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8GWA5
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8L7Y9
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SII6
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8GX94
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O23264
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LEX5
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LD45
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q56YT0
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P19172
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8W1Y3
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q94K73
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8LEZ4
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O49394
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9C801
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q39211
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4KIZ2
rbohF (Cd - CTRL)-rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IUJ7
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	O48723
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9LVD6
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q94F20
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9FMP0
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	F4I1Z0
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q8LGG0
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9FEA2
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	O82264
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9MAX3
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	A0A1P8B3K8
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9SLK0
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q39034
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	O22224
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9ZQH0
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q2V3L3
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9M1J6
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	P50546
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IXJ7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8L5Z0
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	A8MQQ5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IB81
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4JMW3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8VZP1
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9C8E7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q84WU5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LKR7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	A0A1P8BGB2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IN63
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9C8G5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4K6N3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LVW0
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4I2Z8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q93XX8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8VYW7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P0C1T5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q0WUZ5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8RW96
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q56WF8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4KDC7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q43729
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FLB4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9ZPH9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9CAV7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q94AT1
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SJA6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SAE3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FGC5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SW43
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P92949
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LHL6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8LG05
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SZV3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q67YS6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8RWV9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P33207
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LZJ7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O82381
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4K5T4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FF98
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8L608
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SGH2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9CAF6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SB42
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SN35
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4I6W7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SS61
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O82647
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4JHN2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9M8S7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9M8Z9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LFE4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q58FW3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P52839
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SB41
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9XJ27
rbohF - WT (CTRL)	B6ETT4
rbohF - WT (CTRL)	Q9ZVX3
rbohF - WT (CTRL)	Q8GYU3
rbohF - WT (CTRL)	Q9LR75
rbohF - WT (CTRL)	Q9CAD8
rbohF - WT (CTRL)	Q3EDL4
rbohF - WT (CTRL)	F4JXH8
rbohF - WT (CTRL)	Q9SGA5
rbohF - WT (CTRL)	Q9FIC6
rbohF - WT (CTRL)	A0A1P8AY74
rbohF - WT (CTRL)	Q941F1
rbohF - WT (CTRL)	F4IDB2
rbohF - WT (CTRL)	Q9LQZ4
rbohF - WT (CTRL)	Q8RWN2
rbohF - WT (CTRL)	Q9C8J4
rbohF - WT (CTRL)	Q9XIP8
rbohF - WT (CTRL)	Q9FNA3
rbohF - WT (CTRL)	Q9LDH3
rbohF - WT (CTRL)	Q9XIQ1
rbohF - WT (CTRL)	Q8L607
rbohF - WT (CTRL)	A0A1P8BDF4
rbohF - WT (CTRL)	Q6NMN6
rbohF - WT (CTRL)	F4IL57
rbohF - WT (CTRL)	O64862
rbohF - WT (CTRL)	Q9SRE4
rbohF - WT (CTRL)	Q9M8K3
rbohF - WT (CTRL)	Q56YA5
rbohF - WT (CTRL)	Q9SUT5
rbohF - WT (CTRL)	Q8W496
rbohF - WT (CTRL)	Q8L466
rbohF - WT (CTRL)	A0A1P8ATB0
rbohF - WT (CTRL)	Q2V3E2
rbohF - WT (CTRL)	Q9FJK7
rbohF - WT (CTRL)	A0A1P8AXX8
rbohF - WT (CTRL)	O82491
rbohF - WT (CTRL)	F4IUD7
rbohF - WT (CTRL)	Q84VZ5
rbohF - WT (CTRL)	Q9FHN2
rbohF - WT (CTRL)	Q9SKI2
rbohF - WT (CTRL)	Q9S7M9
rbohF - WT (CTRL)	Q8LAZ7
rbohF - WT (CTRL)	Q8L7U5
rbohF - WT (CTRL)	F4IWW1
rbohF - WT (CTRL)	Q9LXX6
rbohF - WT (CTRL)	A9X4U2
rbohF - WT (CTRL)	Q9FXA2
rbohF - WT (CTRL)	Q8L831
rbohF - WT (CTRL)	Q9M0A0
rbohF - WT (CTRL)	Q39230
rbohF - WT (CTRL)	A0A1P8B6J9
rbohF - WT (CTRL)	F4HRS2
rbohF - WT (CTRL)	A0A1P8B863
rbohF - WT (CTRL)	Q93V58
rbohF - WT (CTRL)	F4IW47
