intersections	protein
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LYG5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IXJ7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O80713
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LME7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IB81
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8VZP1
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9C8E7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LKR7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IZ80
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9ZVL3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q6NLY8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4I2Z8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q93XX8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LD45
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FLB4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9CAV7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q94K73
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FGC5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LHL6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8LG05
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q39211
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SII6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SZV3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q67YS6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FVV7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4K5T4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SGH2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9CAF6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SB42
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SN35
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SS61
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4KIZ2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9M8S7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q94K76
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9XJ27
rbohF - WT (CTRL)	Q9ZVX3
rbohF - WT (CTRL)	Q8GYU3
rbohF - WT (CTRL)	Q941F1
rbohF - WT (CTRL)	Q9LQZ4
rbohF - WT (CTRL)	A0A1P8B3K8
rbohF - WT (CTRL)	O64862
rbohF - WT (CTRL)	Q9SRE4
rbohF - WT (CTRL)	Q9M8K3
rbohF - WT (CTRL)	Q56YA5
rbohF - WT (CTRL)	Q8L466
rbohF - WT (CTRL)	A0A1P8ATB0
rbohF - WT (CTRL)	Q2V3E2
rbohF - WT (CTRL)	Q9FJK7
rbohF - WT (CTRL)	A0A1P8AXX8
rbohF - WT (CTRL)	F4IUD7
rbohF - WT (CTRL)	Q9FHN2
rbohF - WT (CTRL)	Q9SKI2
rbohF - WT (CTRL)	Q9S7M9
rbohF - WT (CTRL)	F4IWW1
rbohF - WT (CTRL)	Q9LXX6
rbohF - WT (CTRL)	A9X4U2
rbohF - WT (CTRL)	Q9FXA2
rbohF - WT (CTRL)	Q9M0A0
rbohF - WT (CTRL)	Q39230
rbohF - WT (CTRL)	A0A1P8B6J9
rbohF - WT (CTRL)	A0A1P8B863
rbohF - WT (CTRL)	Q93V58
rbohF - WT (CTRL)	F4K1S1
rbohF - WT (CTRL)	Q8L719
rbohF - WT (CTRL)	Q9FKS8
rbohF - WT (CTRL)	Q4V3C8
rbohF - WT (CTRL)	Q94AM8
rbohF - WT (CTRL)	O65398
rbohF - WT (CTRL)	Q9LII9
rbohF - WT (CTRL)	Q84WW2
rbohF - WT (CTRL)	Q9LMS7
rbohF - WT (CTRL)	Q4V3A2
rbohF - WT (CTRL)	F4JXW2
rbohF - WT (CTRL)	Q8VZL1
rbohF - WT (CTRL)	Q93ZR3
rbohF - WT (CTRL)	Q9SVC2
rbohF - WT (CTRL)	O82647
rbohF - WT (CTRL)	Q9SIL6
rbohF - WT (CTRL)	Q9MAB2
rbohF - WT (CTRL)	Q42534
rbohF - WT (CTRL)	F4K2Y3
rbohF - WT (CTRL)	Q8H1F1
rbohF - WT (CTRL)	Q9FR95
rbohF - WT (CTRL)	Q9LFT3
rbohF - WT (CTRL)	Q681W7
rbohF - WT (CTRL)	Q9ZPS9
rbohF - WT (CTRL)	Q9LMK7
rbohF - WT (CTRL)	Q4PSX0
rbohF - WT (CTRL)	Q9XI07
rbohF - WT (CTRL)	Q9LJX4
rbohF - WT (CTRL)	B9DFZ2
rbohF - WT (CTRL)	Q9LUJ5
rbohF - WT (CTRL)	P93031
rbohF - WT (CTRL)	Q9LU41
rbohF - WT (CTRL)	P49077
rbohF - WT (CTRL)	C0LGJ9
rbohF - WT (CTRL)	F4IQ05
rbohF - WT (CTRL)	Q9LPL6
rbohF - WT (CTRL)	Q9C587
rbohF - WT (CTRL)	Q7X6P3
rbohF - WT (CTRL)	Q8GXY6
rbohF - WT (CTRL)	Q9LZV3
rbohF - WT (CTRL)	Q84P25
rbohF - WT (CTRL)	Q9LU97
rbohF - WT (CTRL)	Q9SLK0
rbohF - WT (CTRL)	Q8VZ80
rbohF - WT (CTRL)	F4JKM2
rbohF - WT (CTRL)	Q6ICY4
rbohF - WT (CTRL)	Q96329
rbohF - WT (CTRL)	A0A1R7T3D6
rbohF - WT (CTRL)	A0A2H1ZE60
rbohF - WT (CTRL)	Q8RX89
rbohF - WT (CTRL)	F4JTY7
rbohF - WT (CTRL)	Q9FFK1
rbohF - WT (CTRL)	Q9M1E5
rbohF - WT (CTRL)	F4I962
rbohF - WT (CTRL)	Q8W5R6
rbohF - WT (CTRL)	O23254
rbohF - WT (CTRL)	Q9LM76
rbohF - WT (CTRL)	Q7XA68
rbohF - WT (CTRL)	Q9XGX9
rbohF - WT (CTRL)	Q0WW84
rbohF - WT (CTRL)	Q7Y030
rbohF - WT (CTRL)	Q9CAT7
rbohF - WT (CTRL)	F4INU4
rbohF - WT (CTRL)	Q9SL02
