Accession	Gene ID	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Abundances (Normalized): F16: Sample, WT Cd	Abundances (Normalized): F17: Sample, WT Cd	Abundances (Normalized): F18: Sample, WT Cd	Abundance Ratio (log2): (WT Cd) / (WT C)	Abundance Ratio Adj. P-Value: (WT Cd) / (WT C)
Q94A84	AT3G50740	103269389.344123	105980625.000645	74662205.8518474	6052456.890625	8153453.95975452	6214552.0699098	-4.05	1.17297457125961E-16
P25857	AT1G42970	257768.884362085	2674635.67484814	305264.249815511	16829912.109375	10796440.4470929	13857746.7629415	5.5	1.17297457125961E-16
O64862	AT2G44270	57057544.1255414	87397067.4530131	38234502.8745218	877480.046875	953502.699575696	972210.494274057	-5.9	1.17297457125961E-16
F4K5W3	AT5G37130	0	0	0	866890.75	503727.184451163	506995.7703033	6.64	1.17297457125961E-16
P92979	AT4G04610	0	0	0	334422.46875	164791.039969083	141521.23825142	6.64	1.17297457125961E-16
F4IDB3	AT1G72410	448826.353194743	334383.747658208	234945.426603967	0	0	0	-6.64	1.17297457125961E-16
Q6NQK0	AT1G76970	300658.501842249	255696.21971168	1601549.65404154	0	0	0	-6.64	1.17297457125961E-16
Q9M8K3	AT3G06150	190489596.91947	160460976.143377	138983824.973524	3299698.28125	3115229.36830709	4304674.10907456	-5.6	1.17297457125961E-16
F4JHN2	AT4G00820	5792672.27538831	6235361.42063715	2187344.27575529	330014045.6875	191843392.791947	445215081.757835	5.83	1.17297457125961E-16
A8MRW6	AT3G55470	0	0	0	767898.25	471725.379769392	613808.139943433	6.64	1.17297457125961E-16
Q9CAD8	AT1G63730	147924.05617107	64281.5430028939	0	15807568	13583540.9239752	11781778.0930798	6.64	1.17297457125961E-16
Q8W5R6	AT1G21730	51317580.3793449	28072697.7462257	49598917.5663171	3358878.84375	6676419.87460931	2923635.7633513	-3.88	1.17297457125961E-16
Q9ZQ38	AT2G24290	0	0	0	698653.9375	512830.711805782	789840.792758444	6.64	1.17297457125961E-16
A0A1P8AS27	AT1G09195	79365.2573828366	732476.739636185	689220.762372552	0	0	0	-6.64	1.17E-16
