Accession	Gene ID	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F4: Sample, rbohC Cd	Abundances (Normalized): F5: Sample, rbohC Cd	Abundances (Normalized): F6: Sample, rbohC Cd	Abundance Ratio (log2): (rbohC Cd) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohC Cd) / (rbohC C)
A0A1P8ATG5	AT1G20696	0	0	0	75337.2628530402	74662.5727145595	49290.8219062493	6.64	1.48419062027231E-16
O49652	AT4G22710	0	0	0	1154601.28074716	925766.266678094	458573.67821188	6.64	1.48419062027231E-16
F4K265	AT5G66930	3516134.13895166	3656640.27515819	2076365.13972324	0	0	0	-6.64	1.48419062027231E-16
Q9FNA3	AT5G13690	1510546.90247619	1944535.89277097	1180733.79230222	0	0	0	-6.64	1.48419062027231E-16
A0A1P8AQC9	AT1G67410	403296.870600784	201377.599496229	2391560.16203439	0	0	0	-6.64	1.48419062027231E-16
Q9ZVX3	AT2G16900	0	0	0	876794.309965085	624553.585585016	814236.217740056	6.64	1.48419062027231E-16
Q9SA25	AT1G16260	0	0	0	132910.0815771	179047.458206589	76734.3066433547	6.64	1.48419062027231E-16
O22254	AT2G47570	8977723.29086307	7742821.79058745	8026438.56956633	6206986.88431111	46560245.7388708	47255493.8288322	2.54	1.48419062027231E-16
Q9FMK7	AT5G63160	358070.009391898	337127.316747802	373597.291807368	0	0	0	-6.64	1.48419062027231E-16
Q8LDK5	AT5G27820	483973.477967784	282851.205061617	9776073.76242101	20707704.8682221	18338073.5246885	6941076.7829797	5.24	1.48419062027231E-16
O22241	AT3G44720	0	0	0	800079.001630348	277509.795218636	643953.86251743	6.64	1.48419062027231E-16
O64783	AT1G61370	1413579.49145317	1123763.81724552	837060.77246346	0	0	0	-6.64	1.48419062027231E-16
Q6ICW8		1565845.83852093	2968972.80361262	2942697.10408309	0	0	0	-6.64	1.48419062027231E-16
Q9SEZ9	AT2G40160	0	0	0	1872178.50280361	3060401.21585086	857902.849016367	6.64	1.48419062027231E-16
Q9SJD4	AT2G04350	120222974.734249	164005566.363313	127038201.643147	193704588.060018	566668710.025522	517498775.624924	2.03	1.48419062027231E-16
