Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
Q1H595	AT1G03330	73960760.7847562	60093654.3328845	80188005.4067609	11756731.5343172	10379790.4779396	10407861.5397786	-2.83	1.36513383665065E-16
Q9ZQ38	AT2G24290	0	0	0	1235590.07183006	756074.412597065	1066347.30161901	6.64	1.36513383665065E-16
Q944P7	AT4G30920	1407394.93790557	3876585.80717013	2905960.23187574	130698478.330563	123467293.597666	138823505.427881	5.49	1.36513383665065E-16
P50700	AT4G11650	2315245.80721698	5274640.81610694	1472092.07175089	23831694.1444731	28566247.430971	29697682.6637473	3.63	1.36513383665065E-16
Q949P3	AT2G17340	3254913.92116542	4870647.6143155	2830075.46785516	0	0	0	-6.64	1.36513383665065E-16
Q501F8	AT4G08300	213757.648566311	93509.4526161846	569404.322912852	0	0	0	-6.64	1.36513383665065E-16
Q0WT40	AT4G15290	1196710.38353601	705633.230513244	1828415.38493207	0	0	0	-6.64	1.36513383665065E-16
O49652	AT4G22710	0	0	0	1682861.4322599	3477874.12502047	2859205.07749268	6.64	1.36513383665065E-16
Q9LYG5		0	0	0	78715555.6048292	777700.751591556	15225442.6212959	6.64	1.36513383665065E-16
Q9LXB5	AT5G10625	0	0	0	150436.97568742	97117.2390341474	174754.193068548	6.64	1.36513383665065E-16
Q8L8Q8	AT5G64816	573749.59385935	673408.366563309	867570.562303237	0	0	0	-6.64	1.36513383665065E-16
Q7XZP5	AT4G35970	0	0	0	1704834.77602113	1203193.25779735	2011116.61699945	6.64	1.36513383665065E-16
Q8GXN2	AT4G21680	0	0	0	449880.516996563	715130.724679615	796375.748474216	6.64	1.36513383665065E-16
Q8RXV4		749829.118350673	329001.429313144	1166227.6811284	0	0	0	-6.64	1.36513383665065E-16
Q8LDK5	AT5G27820	487206.466741791	476809.989088477	333951.400446965	35504371.4222639	35693296.1150002	236579.894993044	6.22	1.36513383665065E-16
Q9FKV1	AT5G44370	481554.829739683	402111.942882697	716017.945149724	0	0	0	-6.64	1.36513383665065E-16
Q0WKV3	AT1G12300	7836887.67743819	9443148.36304738	4948527.63224212	0	0	0	-6.64	1.36513383665065E-16
Q93VI4	AT5G51120	408563693.81213	13037656.1465149	11824170.6539142	154684123.746696	151529469.047511	181282918.349291	3.57	1.36513383665065E-16
Q9SG91	AT3G10860	0	0	0	97964.4458270346	32163.9035976928	52880.0740529009	6.64	1.36513383665065E-16
Q9SJU4	AT2G21330	831786.950900017	620322.221349471	1917515.8479677	0	0	0	-6.64	1.36513383665065E-16
Q9FPH3	AT3G04520	426074.65777623	676164.72195089	19703885.2586379	17872312.9250206	21195166.020869	17057869.3906599	4.72	1.36513383665065E-16
Q9SX79	AT1G47490	1618308.98397896	1923207.61599654	1919592.30097452	0	0	0	-6.64	1.36513383665065E-16
Q9C8V1	AT1G33940	0	0	0	1035866.88558653	1340164.36564366	1186375.10635877	6.64	1.36513383665065E-16
F4JHW1	AT4G02860	0	0	0	625247.133835675	396704.779587802	421748.954542183	6.64	1.36513383665065E-16
Q944G9	AT4G38970	1136445.29764631	589926.958667882	500488.766292027	0	0	0	-6.64	1.36513383665065E-16
Q9LFH5	AT3G53430	62744937.3162914	42895614.0884903	49267790.9246594	3892623.09178102	0	0	-3.66	1.36513383665065E-16
Q93YQ3	AT5G47435	0	0	0	765365.695178775	780187.919132451	625649.006874987	6.64	1.36513383665065E-16
A0A1I9LTQ6	AT3G10270	6977447.46928155	2952821.17851998	12961854.3394754	81441622.4930137	79317267.2269006	58406293.9836319	3.51	1.36513383665065E-16
Q84JR9	AT3G58620	2213919.21830262	4649806.59765046	2348441.95254062	100990592.44195	78907183.1213769	32723057.2932373	5.07	1.36513383665065E-16
A0A1P8B4V5	AT4G38100	252317.202364353	219036.483924561	283129.328066472	0	0	0	-6.64	1.36513383665065E-16
A0A1P8BBS3	AT5G40910	0	0	0	260763.238658286	225651.99593546	304755.994033353	6.64	1.36513383665065E-16
