intersections	protein
rbohF (Cd - CTRL)-rbohF - WT (CTRL)	Q9MAX3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O23264
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LHG9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	A8MS85
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	C0Z2A9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8L5Z0
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	A8MQQ5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4JMW3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q84WU5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q1H595
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P19172
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	A0A1P8BGB2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SS48
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FGV4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IN63
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SZ46
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9C8G5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4K6N3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8W1Y3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8L7Y9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LVW0
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8GWA5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9FG91
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SLA7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q949Z2
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8VYW7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q0WUZ5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8RW96
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q56WF8
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O49394
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4KDC7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9ZPH9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q94AT1
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SIH4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SJA6
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8GX94
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SAE3
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q56YT0
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9SW43
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P92949
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	F4IUJ7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8LEZ4
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LEX5
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q8RWV9
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	P33207
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	Q9LZJ7
rbohF - rbohC (CTRL)-rbohF - WT (CTRL)	O82381
