Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9LZP5	A0A178V6K8; ath:AT3G62450; Q9LZP5	DNA mismatch repair protein OS=Arabidopsis thaliana OX=3702 GN=T12C14_150 PE=1 SV=1	8.509	22	2	2	0.01	-6.64	9.71282301316431E-17	1E-17		663072.915951095		74.46				369284.862075376		1190586.82610756	High	Not Found	Not Found	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Peak Found	Peak Found	High	High	High	High	High	6
Q9SRQ4	Q9SRQ4	T21P5.8 protein OS=Arabidopsis thaliana OX=3702 GN=At3g03500 PE=1 SV=1	7.322	15	2	2	100	6.64	9.71282301316431E-17	1E-17	450883.916323477		65.72		272584.548266161		745810.088254492				Peak Found	Not Found	High	High	Not Found	High	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	Not Found	6
Q9C5U8	ath:AT5G63890; F4KC60; Q8LA77; Q9C5U8; Q9FN00	Histidinol dehydrogenase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HISN8 PE=2 SV=1	14.729	22	2	2	0.01	-6.64	9.71282301316431E-17	1E-17		776393.750471673		54.44				776393.750471673	1467159.04451719	500415.094953377	High	Not Found	Not Found	Not Found	Not Found	Not Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	6
F4IZ80	A0A178VFW8; ath:AT3G49845; F4IZ80; Q0WPY7; Q9M2X4	Cysteine-rich TM module stress tolerance protein OS=Arabidopsis thaliana OX=3702 GN=WIH3 PE=1 SV=1	6.993	20	2	2	15.347	3.94	9.71282301316431E-17	1E-17	85048555.4926989	5541607.48246406	29.02	28.36	133057397.632624	85048555.4926989	81050915.1681767	7361922.66883511	4147525.50583791	5541607.48246406	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	6
B6ETT4	ath:AT1G20080; B6ETT4; Q9LNT5	Synaptotagmin-2 OS=Arabidopsis thaliana OX=3702 GN=SYT2 PE=2 SV=1	10.525	45	3	2	100	6.64	9.71282301316431E-17	1E-17	2550522.28796329		56.12		2550522.28796329	4758740.17037837	1525043.59219515				High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	Not Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	6
F4JHN2	ath:AT4G00820; F4JHN2; O23094; Q0WPW7	Protein IQ-DOMAIN 17 OS=Arabidopsis thaliana OX=3702 GN=IQD17 PE=1 SV=1	8.768	13	3	3	44.57	5.48	9.71282301316431E-17	1E-17	258178361.55451	5792672.27538831	32.07	46.86	258178361.55451	311061715.969401	158011019.965427	5792672.27538831	6235361.42063715	2187344.27575529	High	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	6
Q9ZVX3	Q9ZVX3	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g16900 PE=1 SV=2	9.213	19	3	3	0.01	-6.64	9.71282301316431E-17	1E-17		631856.38328092							631856.38328092		Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	High	Not Found	High	Not Found	High	Not Found	Not Found	Not Found	Not Found	6
Q9FZ82	A0A178W5A3; ath:AT1G18610; Q9FZ82	F25I16.5 protein OS=Arabidopsis thaliana OX=3702 GN=At1g18610 PE=1 SV=1	9.649	25	4	4	0.012	-6.36	9.71282301316431E-17	1E-17	1901040.96661439	155975207.644951	22.16	17.51	1901040.96661439	1880021.59001155	2722267.6974825	142372060.118358	155975207.644951	197953033.489268	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	6
Q8GYU3	ath:AT4G38440; Q8GYU3; Q9SVE1; Q9SZM5	Transcriptional elongation regulator MINIYO OS=Arabidopsis thaliana OX=3702 GN=IYO PE=1 SV=1	7.797	12	4	4	0.038	-4.72	9.71282301316431E-17	1E-17	850048.589814672	22392521.4061628	18.69	88.08	850048.589814672	848670.844538136	1157489.43603571	22392521.4061628	944241.407296662	34415819.3579887	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	Not Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	6
Q9LR75	ath:AT1G03475; Q546I5; Q94JR5; Q9LR75	Coproporphyrinogen-III oxidase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPX1 PE=2 SV=1	7.187	15	4	4	100	6.64	9.71282301316431E-17	1E-17	174243.842939467		20.32		174243.842939467	185684.467398366	124055.266325484				Peak Found	High	Peak Found	Not Found	Peak Found	Not Found	High	Peak Found	High	Peak Found	Not Found	High	Not Found	High	Not Found	Peak Found	High	Not Found	6
