Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (rbohC C)	Abundance Ratio (log2): (rbohF C) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohF C) / (rbohC C)	Abundance Ratio P-Value: (rbohF C) / (rbohC C)	Abundances (Grouped): rbohC C	Abundances (Grouped): rbohF C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9M9M4	ath:AT3G03050; Q9M9M4	Cellulose synthase-like protein D3 OS=Arabidopsis thaliana OX=3702 GN=CSLD3 PE=1 SV=1	290.614	1542	37	24	0.121	-3.05	1.12273494653911E-16	1E-17	927876261.009469	111968933.391275	21.53	11.72	927876261.009469	633155628.027912	962838226.905531	111968933.391275	96098791.4395303	121613980.424961	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L5Y9	ath:AT4G32180; O49372; O49374; Q8L5Y9	Pantothenate kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PANK2 PE=1 SV=2	82.236	308	20	19	7.699	2.94	1.12273494653911E-16	1E-17	15851263.0483344	122033260.686058	10.95	48.59	15851263.0483344	18331193.7783641	14856021.8880697	261879474.392067	122033260.686058	119381906.907819	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O23264	ath:AT4G14030; O23264; Q42178; Q93WU0	Selenium-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=SBP1 PE=1 SV=1	101.257	445	15	15	11.619	3.54	1.12273494653911E-16	1E-17	30918115.1690013	359234681.369465	19.7	57.9	21834300.8993336	31934178.7053043	30918115.1690013	359234681.369465	409387807.382357	97926922.2172764	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q43314	ath:AT5G18170; Q43314	Glutamate dehydrogenase 1 OS=Arabidopsis thaliana OX=3702 GN=GDH1 PE=1 SV=1	125.673	654	17	12	0.113	-3.15	1.12273494653911E-16	1E-17	209626320.614471	23673989.1392883	25.07	10.69	209343439.729783	209626320.614471	315824108.454947	28255429.2398823	23673989.1392883	23524534.5782995	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LZQ3	ath:AT3G62370; Q9LZQ3	Heme binding protein OS=Arabidopsis thaliana OX=3702 GN=T12C14_70 PE=1 SV=1	46.825	138	5	5	12.839	3.68	1.12273494653911E-16	1E-17	6292696.20530901	80790922.799737	59.71	73.35	6204804.63596568	16110491.1953554	6292696.20530901	83306677.5364606	80790922.799737	8840815.25807605	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LHG9	ath:AT3G12390; Q9LHG9	Nascent polypeptide-associated complex subunit alpha-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g12390 PE=1 SV=1	102.421	301	9	5	6.422	2.68	1.12273494653911E-16	1E-17	39716768.2460081	255074508.352652	18.45	72.73	39716768.2460081	31513205.1307242	45863303.6806108	40041932.5573849	255074508.352652	336233702.279535	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LYG5	Q9LYG5	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g11650 PE=1 SV=1	13.062	250	4	3	0.01	-6.64	1.12273494653911E-16	1E-17	421065.57871353						421065.57871353				High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A8MS85	A8MS85; ath:AT1G65440; O80815; Q0WN83	Transcription elongation factor SPT6 homolog OS=Arabidopsis thaliana OX=3702 GN=SPT6 PE=1 SV=1	75.896	246	23	22	11.964	3.58	1.12273494653911E-16	1E-17	10246056.6297222	122578797.518363	8.42	15.56	10246056.6297222	8961839.78791989	10526318.9831399	151190024.823728	112569195.677682	122578797.518363	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q9ZTP3	ath:AT3G04580; Q9ZTP3	Protein EIN4 OS=Arabidopsis thaliana OX=3702 GN=EIN4 PE=1 SV=1	42.86	131	9	9	16.687	4.06	1.12273494653911E-16	1E-17	7835972.17913318	130757948.512741	29.33	18.24	7835972.17913318	7968607.18592936	4470760.20601912	157120588.946599	108943153.048357	130757948.512741	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
P59277	ath:AT1G51740; P59277; Q84JQ3; Q9C8I2	Syntaxin-81 OS=Arabidopsis thaliana OX=3702 GN=SYP81 PE=1 SV=2	30.31	115	7	7	0.042	-4.56	1.12273494653911E-16	1E-17	235652196.777226	9999811.26506086	22.2	11.47	259366837.942305	165386558.978404	235652196.777226	9999811.26506086	9075200.55755245	11390064.6173718	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
