Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
B6ETT4	ath:AT1G20080; B6ETT4; Q9LNT5	Synaptotagmin-2 OS=Arabidopsis thaliana OX=3702 GN=SYT2 PE=2 SV=1	10.525	45	3	2	100	6.64	1.01626016260163E-16	1E-17	2570056.07230494		12.47		2352631.56654614	2807574.42377111					High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	Not Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	6
F4JHN2	ath:AT4G00820; F4JHN2; O23094; Q0WPW7	Protein IQ-DOMAIN 17 OS=Arabidopsis thaliana OX=3702 GN=IQD17 PE=1 SV=1	8.768	13	3	3	73.923	6.21	1.01626016260163E-16	1E-17	428209330.88795	5792672.27538831	31.31	46.86	346131562.376136	631110746.19853	428209330.88795	5792672.27538831	6235361.42063715	2187344.27575529	High	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	6
Q9ZVX3	Q9ZVX3	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g16900 PE=1 SV=2	9.213	19	3	3	0.01	-6.64	1.01626016260163E-16	1E-17		631856.38328092							631856.38328092		Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	High	Not Found	High	Not Found	High	Not Found	Not Found	Not Found	Not Found	6
Q8GYU3	ath:AT4G38440; Q8GYU3; Q9SVE1; Q9SZM5	Transcriptional elongation regulator MINIYO OS=Arabidopsis thaliana OX=3702 GN=IYO PE=1 SV=1	7.797	12	4	4	0.035	-4.84	1.01626016260163E-16	1E-17	783830.189583534	22392521.4061628		88.08	783830.189583534			22392521.4061628	944241.407296662	34415819.3579887	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	Not Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	6
Q9LR75	ath:AT1G03475; Q546I5; Q94JR5; Q9LR75	Coproporphyrinogen-III oxidase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPX1 PE=2 SV=1	7.187	15	4	4	100	6.64	1.01626016260163E-16	1E-17	216417.5624855		45.47		216417.5624855	197717.316601246	427386.694051942				Peak Found	High	Peak Found	Not Found	Peak Found	Not Found	High	Peak Found	High	Peak Found	Not Found	High	Not Found	High	Not Found	Peak Found	High	Not Found	6
Q9LKR7	ath:AT5G28510; Q9LKR7	Beta-glucosidase 24 OS=Arabidopsis thaliana OX=3702 GN=BGLU24 PE=2 SV=2	24.086	309	6	4	0.01	-6.64	1.01626016260163E-16	1E-17		662223.338193426		9.11				706345.400963732	620857.372398411		Peak Found	Peak Found	High	High	Peak Found	Peak Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Peak Found	High	High	Not Found	High	Not Found	6
Q9CAD8	ath:AT1G63730; Q9CAD8	Disease resistance protein (TIR-NBS-LRR class) family OS=Arabidopsis thaliana OX=3702 GN=At1g63730 PE=4 SV=1	6.457	12	5	5	100	6.64	1.01626016260163E-16	1E-17	13839021.176067	97513.0072242833	23.47	55.74	13839021.176067	9970947.38933482	16161244.0197785	147924.05617107	64281.5430028939		Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Not Found	High	High	Peak Found	6
Q9C8E7	ath:AT1G42540; Q9C8E7	Glutamate receptor 3.3 OS=Arabidopsis thaliana OX=3702 GN=GLR3.3 PE=1 SV=1	6.815	7	5	5	0.01	-6.64	1.01626016260163E-16	1E-17		1155282.27043688		25.15				1382805.72065144		965194.968789268	Not Found	Peak Found	Not Found	High	Peak Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Peak Found	High	Not Found	High	6
Q3EDL4	ath:AT1G01540; O23699; Q3EDL4; Q94KD9; Q9LMM7	Probable serine/threonine-protein kinase At1g01540 OS=Arabidopsis thaliana OX=3702 GN=At1g01540 PE=1 SV=2	29.578	199	6	2	100	6.64	1.01626016260163E-16	1E-17	686870.441578074		4.1		707102.601838973	667217.17935511					High	High	High	Peak Found	Peak Found	High	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	High	High	7
F4JXH8	F4JXH8	RNA binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At5g60170 PE=1 SV=1	8.576	20	2	2	100	6.64	1.01626016260163E-16	1E-17	155113.094497806		10.1		166613.119222505		144406.828207531				Not Found	High	High	Not Found	Peak Found	Not Found	High	Not Found	High	High	Not Found	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	7
