Accession	Description	MW [kDa]	calc. pI
Q0WNJ6	Clathrin heavy chain 1 OS=Arabidopsis thaliana OX=3702 GN=CHC1 PE=1 SV=1	193.1	5.4
A0A1I9LSK3	Auxin transport protein (BIG) OS=Arabidopsis thaliana OX=3702 GN=BIG PE=1 SV=1	566.3	5.94
Q0WLB5	Clathrin heavy chain 2 OS=Arabidopsis thaliana OX=3702 GN=CHC2 PE=1 SV=1	193.1	5.38
Q9SYP1	DExH-box ATP-dependent RNA helicase DExH12 OS=Arabidopsis thaliana OX=3702 GN=BRR2A PE=1 SV=1	247	5.74
A0A1P8AT97	ILITYHIA OS=Arabidopsis thaliana OX=3702 GN=ILA PE=1 SV=1	293	7.14
Q9SSD2	Pre-mRNA-processing-splicing factor 8A OS=Arabidopsis thaliana OX=3702 GN=PRP8A PE=1 SV=1	275.3	8.79
F4ISU2	Early endosome antigen OS=Arabidopsis thaliana OX=3702 GN=At2g32240 PE=1 SV=1	148.5	4.75
F4JVN6	Tripeptidyl-peptidase 2 OS=Arabidopsis thaliana OX=3702 GN=TPP2 PE=1 SV=1	152.3	6.07
P19456	ATPase 2, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA2 PE=1 SV=2	104.3	6.99
P20649	ATPase 1, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=AHA1 PE=1 SV=3	104.2	6.7
F4IWV2	Oxoglutarate dehydrogenase (succinyl-transferring) OS=Arabidopsis thaliana OX=3702 GN=At3g55410 PE=1 SV=1	115.1	6.93
Q9XIE2	ABC transporter G family member 36 OS=Arabidopsis thaliana OX=3702 GN=ABCG36 PE=1 SV=1	165	7.9
Q56ZI2	Patellin-2 OS=Arabidopsis thaliana OX=3702 GN=PATL2 PE=1 SV=2	76	4.92
Q9FR53	Serine/threonine-protein kinase TOR OS=Arabidopsis thaliana OX=3702 GN=TOR PE=1 SV=1	279	6.83
Q9SJT9	Coatomer subunit alpha-2 OS=Arabidopsis thaliana OX=3702 GN=At2g21390 PE=2 SV=1	136.4	6.92
F4IIM1	Protein CELLULOSE SYNTHASE INTERACTIVE 1 OS=Arabidopsis thaliana OX=3702 GN=CSI1 PE=1 SV=1	230.6	5.33
F4KHD5	A-kinase anchor-like protein OS=Arabidopsis thaliana OX=3702 GN=MPO12.160 PE=1 SV=1	322.8	4.3
F4IVL6	DnaJ homolog subfamily C GRV2 OS=Arabidopsis thaliana OX=3702 GN=GRV2 PE=1 SV=1	278.9	6.11
O23654	V-type proton ATPase catalytic subunit A OS=Arabidopsis thaliana OX=3702 GN=VHA-A PE=1 SV=1	68.8	5.24
Q94A40	Coatomer subunit alpha-1 OS=Arabidopsis thaliana OX=3702 GN=At1g62020 PE=2 SV=2	136.5	6.98
Q9SE83	Dynamin-2A OS=Arabidopsis thaliana OX=3702 GN=DRP2A PE=1 SV=2	99.1	9.04
Q9LQ55	Dynamin-2B OS=Arabidopsis thaliana OX=3702 GN=DRP2B PE=1 SV=2	100.2	9.04
A0A1I9LP28	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g06530 PE=1 SV=1	247.5	7.12
F4J0P2	Transducin/WD40 repeat-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g50590 PE=1 SV=1	176.2	8.32
Q7PC86	ABC transporter G family member 35 OS=Arabidopsis thaliana OX=3702 GN=ABCG35 PE=2 SV=1	162.5	7.9
P35527	Keratin, type I cytoskeletal 9 (Contact-Cont) OS=Homo sapiens GN=KRT9 PE=1 SV=3	62	5.24
Q9LD55	Eukaryotic translation initiation factor 3 subunit A OS=Arabidopsis thaliana OX=3702 GN=TIF3A1 PE=1 SV=1	114.2	9.17
Q9SR37	Beta-glucosidase 23 OS=Arabidopsis thaliana OX=3702 GN=BGLU23 PE=1 SV=1	59.7	6.92
Q9SIV2	26S proteasome non-ATPase regulatory subunit 2 homolog A OS=Arabidopsis thaliana OX=3702 GN=RPN1A PE=1 SV=2	98.1	5.1
P83483	ATP synthase subunit beta-1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g08670 PE=1 SV=1	59.6	6.62
Q9C5A9	ATP synthase subunit beta-3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g08680 PE=1 SV=1	59.8	6.49
P04264	Keratin, type II cytoskeletal 1 (Contact-Cont) OS=Homo sapiens GN=KRT1 PE=1 SV=6	66	8.12
F4JNE2	Pleckstrin homology (PH) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At4g17140 PE=1 SV=1	470.9	5.99
F4KIH8	Transducin/WD40 repeat-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MXC17.10 PE=1 SV=1	148	6.73
Q9FLH2	Oxoglutarate dehydrogenase (succinyl-transferring) OS=Arabidopsis thaliana OX=3702 GN=MPA24.10 PE=1 SV=1	116.3	7.3
F4IXW2	Brefeldin A-inhibited guanine nucleotide-exchange protein 5 OS=Arabidopsis thaliana OX=3702 GN=BIG5 PE=1 SV=2	192.8	5.58
F4JLM5	Isoleucine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At4g10320 PE=2 SV=1	135.4	6.3
Q8L5Y4	P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=EMB2765 PE=1 SV=1	172.9	5.6
Q9LD43	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CAC3 PE=1 SV=1	85.3	5.82
Q38970	Acetyl-CoA carboxylase 1 OS=Arabidopsis thaliana OX=3702 GN=ACC1 PE=1 SV=1	251.2	6.52
F4K5J1	Myosin-17 OS=Arabidopsis thaliana OX=3702 GN=XI-K PE=1 SV=2	173.3	8.31
P42697	Phragmoplastin DRP1A OS=Arabidopsis thaliana OX=3702 GN=DRP1A PE=1 SV=3	68.1	8.31
Q8LF21	Phragmoplastin DRP1C OS=Arabidopsis thaliana OX=3702 GN=DRP1C PE=1 SV=2	68.7	7.56
Q9M0Y8	Vesicle-fusing ATPase OS=Arabidopsis thaliana OX=3702 GN=NSF PE=1 SV=2	81.4	6.1
Q9C8Y9	Beta-glucosidase 22 OS=Arabidopsis thaliana OX=3702 GN=BGLU22 PE=1 SV=1	59.7	7.21
Q9C525	Beta-glucosidase 21 OS=Arabidopsis thaliana OX=3702 GN=BGLU21 PE=1 SV=1	59.6	7.02
Q9LV03	Glutamate synthase 1 [NADH], chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GLT1 PE=1 SV=2	241.7	6.37
Q8LPK4	AP-2 complex subunit alpha-2 OS=Arabidopsis thaliana OX=3702 GN=ALPHAC-AD PE=1 SV=1	112.2	6.23
Q8LPL6	AP-2 complex subunit alpha-1 OS=Arabidopsis thaliana OX=3702 GN=ALPHA-ADR PE=1 SV=1	112.1	6.23
A0A1I9LSH2	Carbohydrate-binding-like fold OS=Arabidopsis thaliana OX=3702 GN=At3g62360 PE=1 SV=1	129.4	6.15
O50008	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=MS1 PE=1 SV=1	84.3	6.51
Q9ASR1	Elongation factor 2 OS=Arabidopsis thaliana OX=3702 GN=LOS1 PE=1 SV=1	93.8	6.25
Q9LNC5	110 kDa U5 small nuclear ribonucleoprotein component CLO OS=Arabidopsis thaliana OX=3702 GN=CLO PE=1 SV=1	110.4	5.19
P13645	Keratin, type I cytoskeletal 10 (Contact-Cont) OS=Homo sapiens GN=KRT10 PE=1 SV=6	58.8	5.21
F4J8K6	rRNA biogenesis protein RRP5 OS=Arabidopsis thaliana OX=3702 GN=RRP5 PE=2 SV=2	214.1	8.13
P17094	60S ribosomal protein L3-1 OS=Arabidopsis thaliana OX=3702 GN=ARP1 PE=1 SV=5	44.5	10.17
A0A1P8AMQ1	Calcium-dependent lipid-binding family protein OS=Arabidopsis thaliana OX=3702 GN=At1g48090 PE=1 SV=1	464.6	6.42
F4J5R9	Clustered mitochondria protein homolog OS=Arabidopsis thaliana OX=3702 GN=NOXY38 PE=1 SV=1	155.1	6.4
