From	Protein names	Gene Names	Subcellular location	Transmembrane
Q0WNJ6	Clathrin heavy chain 1	CHC1 At3g11130 F11B9.30 F9F8.6	Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic face of coated pits and vesicles.	
A0A1I9LSK3	Auxin transport protein (BIG)	BIG ASA1 ATTENUATED SHADE AVOIDANCE 1 CORYMBOSA1 CRM1 DARK OVER-EXPRESSION OF CAB 1 DOC1 LOW PHOSPHATE-RESISTANT ROOT 1 LPR1 TIR3 TRANSPORT INHIBITOR RESPONSE 3 UMB1 UMBRELLA 1 At3g02260 AT3G02260 F14P3.3 F14P3_3	Unknown	
Q0WLB5	Clathrin heavy chain 2	CHC2 CHC1 At3g08530 F17O14.1 T8G24.1	Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic face of coated pits and vesicles.	
Q9SYP1	DExH-box ATP-dependent RNA helicase DExH12 (EC 3.6.4.13) (BRR2 homolog A) (AtBRR2A) (Pre-mRNA-splicing helicase BRR2A) (Protein EMBRYO DEFECTIVE 1507)	BRR2A EMB1507 At1g20960 F9H16.5	Nucleus.	
A0A1P8AT97	ILITYHIA	ILA ILITHYIA At1g64790 AT1G64790 F13O11.35 F13O11_35	Chloroplast, Nucleus	
Q9SSD2	Pre-mRNA-processing-splicing factor 8A (PRP8 homolog A) (AtPRP8A) (Protein ABNORMAL SUSPENSOR 2) (Protein EMBRYO DEFECTIVE 14) (Protein EMBRYO DEFECTIVE 177) (Protein EMBRYO DEFECTIVE 33) (Protein SUPPRESSOR OF OVEREXPRESSED FCA 81)	PRP8A EMB14 EMB177 EMB33 SOF81 SUS2 At1g80070 F18B13.15	Nucleus.	
F4ISU2	Early endosome antigen	AT2G32240 F22D22.1 F22D22_1	Unknown	"TRANSMEM 1310..1330; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
F4JVN6	Tripeptidyl-peptidase 2 (EC 3.4.14.10) (Tripeptidyl-peptidase II) (TPPII)	TPP2 At4g20850 T13K14.10	Cytoplasm	
P19456	ATPase 2, plasma membrane-type (EC 7.1.2.1) (Proton pump 2)	AHA2 At4g30190 F9N11.40	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 62..81; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 94..114; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 274..291; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 644..665; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 671..693; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 710..730; /note=""Helical; Name=7""; /evidence=""ECO:0000255""; TRANSMEM 752..772; /note=""Helical; Name=8""; /evidence=""ECO:0000255""; TRANSMEM 785..805; /note=""Helical; Name=9""; /evidence=""ECO:0000255""; TRANSMEM 814..834; /note=""Helical; Name=10""; /evidence=""ECO:0000255"""
P20649	ATPase 1, plasma membrane-type (EC 7.1.2.1) (Proton pump 1)	AHA1 At2g18960 F19F24.16	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 62..81; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 94..114; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 274..291; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 644..665; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 671..693; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 710..730; /note=""Helical; Name=7""; /evidence=""ECO:0000255""; TRANSMEM 752..772; /note=""Helical; Name=8""; /evidence=""ECO:0000255""; TRANSMEM 785..805; /note=""Helical; Name=9""; /evidence=""ECO:0000255""; TRANSMEM 814..834; /note=""Helical; Name=10""; /evidence=""ECO:0000255"""
F4IWV2	oxoglutarate dehydrogenase (succinyl-transferring) (EC 1.2.4.2)	At3g55410 AT3G55410	Mitochondrion	
Q9XIE2	ABC transporter G family member 36 (ABC transporter ABCG.36) (AtABCG36) (Pleiotropic drug resistance protein 8) (AtPDR8) (Protein PENETRATION 3)	ABCG36 PDR8 PEN3 At1g59870 F23H11.19	Cell membrane; Multi-pass membrane protein. Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein. Constitutively present and uniformly distributed throughout the plasma membrane in both leaves epidermal and mesophyll cells of plants in normal conditions (PubMed:23836668, PubMed:28910579). Polarized localization at the outermost side of root epidermal and cap cells, in the outer lateral membrane domain facing the environment; the trafficking and endocytic recycling between the endoplasmic reticulum, the trans-Golgi network and the plasma membrane is ACT7-, EAP3- and ALA3-dependent, but the polar localization to the outer lateral membrane domain requires EXO84B (PubMed:20451385, PubMed:27803190, PubMed:28434950, PubMed:29085068, PubMed:20498067). Incorporated transiently at the host-pathogen interface or into pathogen-induced papillae and haustorial encasement structures outside of the plasma membrane upon infection with a pathogen, in an actin-dependent manner; this translocation seems not regulated by phosphorylation (PubMed:23836668, PubMed:28434950, PubMed:29085068, PubMed:28910579).	"TRANSMEM 540..560; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 575..595; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 621..641; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 659..679; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 685..705; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 713..733; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 772..792; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1216..1236; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1239..1259; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1299..1319; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1326..1346; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1356..1376; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1384..1404; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1441..1461; /note=""Helical""; /evidence=""ECO:0000255"""
Q56ZI2	Patellin-2	PATL2 At1g22530 F12K8.13	Membrane; Peripheral membrane protein. Cytoplasm. Mainly membrane-associated. Also cytoplasmic (By similarity).	
Q9FR53	Serine/threonine-protein kinase TOR (EC 2.7.11.1) (Protein TARGET OF RAPAMYCIN) (AtTOR)	TOR At1g50030 F2J10.19	Cytoplasm. Nucleus. Associates to polysomes when activated by auxin or cauliflower mosaic virus (CaMV) Tav protein.	
