Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
O49652	Chloroplast	TRUE	6.64	6.64	6.64	Cytochrome P450 - like protein (Cytochrome P450, family 706, subfamily A, polypeptide 2) (Cytochrome P450-like protein)
Q9SKC1	Chloroplast		-6.64	-6.64	-6.64	UDP-glycosyltransferase 74C1 (EC 2.4.1.-)
P50700	Extracellular		3.31	3.63	5.73	Osmotin-like protein OSM34
O82264	Unknown		-3.2	-2.09	2.45	NPL4-like protein 2
O81888	Extracellular		2.44	1.42	2.36	AT4g33720 (AT4g33720/T16L1_210) (CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein) (Pathogenesis-related protein 1, 19.3K) (Putative pathogenesis-related protein 1, 19.3K)
O04193	Cytoplasm, cytoskeleton.		-1.83	-1.16	-1.46	LIM domain-containing protein WLIM2a (Widely-expressed LIM protein 2) (AtWLIM2)
Q9FX85	Secreted.		1.94	2.03	1.73	Peroxidase 10 (Atperox P10) (EC 1.11.1.7) (ATP5a)
F4JLY4	Chloroplast		1.22	2.6	2.7	Cytochrome P450, family 706, subfamily A, polypeptide 1
Q84JE8	Nucleus, nucleoplasm. Not found in the nucleolus (PubMed:22325353). Co-localizes in nucleoplasmic foci with APE1L and ROS1, two components of the DNA demethylase machinery (PubMed:25569774).		2.14	3.11	-3.2	Polynucleotide 3'-phosphatase ZDP (EC 3.1.3.32) (DNA nick sensor protein)
Q9SUT2	Secreted.		1.32	1.78	2.17	Peroxidase 39 (Atperox P39) (EC 1.11.1.7) (ATP19a)
Q9LMA1	Chloroplast		2.45	2.44	2.26	Probable flavin-containing monooxygenase 1 (EC 1.14.13.-)
Q501E6	Cell membrane; Lipid-anchor. Membrane, caveola.		1.54	1.71	2.7	Flotillin-like protein 1 (AtFLOT1) (Nodulin-like protein 1)
O82659	Unknown		1.69	1.49	2.88	Probable calcium-binding protein CML20 (Calmodulin-like protein 20) (Centrin 1) (AtCEN1)
A8MQL8	Secreted.		-1.78	-2.52	-2.87	GAST1 protein homolog 4
Q9M1Q4	Unknown		-2.8	3.7	2.94	Endonuclease or glycosyl hydrolase (Uncharacterized protein T17J13.160)
A0A1P8B3U2	Mitochondrion		1	1.49	1.98	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
O48723	Cytoplasm.		1.45	3.53	1.89	Patatin-like protein 2 (AtPLP2) (EC 3.1.1.-) (Patatin-related phospholipase A IIalpha) (pPLAIIa) (Phospholipase A IIA) (AtPLAIIA)
O23264	Nucleus		0.95	-1.34	3.01	Selenium-binding protein 1 (AtSBP1)
Q9ZV49	Unknown	TRUE	0.93	2.03	2.07	Expressed protein (Transmembrane protein)
O23547	Secreted.		1.91	2.37	4.3	Expansin-like B1 (At-EXPR1) (AtEXLB1) (AtEXPR1) (Ath-ExpBeta-3.1)
Q9FKH6	Membrane; Multi-pass membrane protein.	TRUE	1.6	1.9	3.04	Cytochrome b561 and DOMON domain-containing protein At5g35735 (Protein b561A.tha16)
P02663	Secreted.		-1.08	-1.77	-1.28	Alpha-S2-casein [Cleaved into: Casocidin-1 (Casocidin-I)]
Q8VZK9	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0.77	1.29	1.36	Cellulose synthase-like protein E1 (AtCslE1) (EC 2.4.1.-)
Q9FNA3	Chloroplast		-6.64	0	6.64	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-glucosaminidase) (AtNAGLU) (Protein CYCLOPS 1)
Q9FMK7	Nucleus. Cytoplasm.		-6.64	0	-6.64	BTB/POZ and TAZ domain-containing protein 1 (BTB and TAZ domain protein 1)
F4IUN0	Chloroplast		-6.64	0	6.64	Transducin family protein / WD-40 repeat family protein
Q9LDH3	Membrane; Multi-pass membrane protein.	TRUE	-5.78	0	6.64	Probable sugar phosphate/phosphate translocator At1g12500
Q9CAV7	Nucleus		1.37	0	-2.13	Probable transcription factor At3g04930 (Storekeeper-like protein At3g04930)
Q0WTB4	Plastid, chloroplast.		-1.97	0	2.86	GTP-binding protein At3g49725, chloroplastic
Q8LA16	Nucleus.		-2.43	0	-2	PHD finger protein ALFIN-LIKE 7 (Protein AL7)
Q8VY27	Cytoplasmic vesicle, phagosome. Cytoplasm. Nucleus. Endomembrane system. Localized in the vesicle-like structures in a peri-nuclear and nuclear pattern.		-3.33	0	5.01	Exocyst complex component EXO70H1 (AtExo70h1) (Exocyst subunit Exo70 family protein H1)
Q9M7K4	Cell membrane; Multi-pass membrane protein.	TRUE	3.47	0	2.88	Potassium transporter 5 (AtHAK1) (AtHAK5) (AtPOT5)
Q94C74	Mitochondrion.		1.24	0	2.08	Serine hydroxymethyltransferase 2, mitochondrial (AtSHMT2) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 2) (Serine methylase 2)
Q9XI90	Nucleus.		2.7	0	-3.17	Probable WRKY transcription factor 4 (WRKY DNA-binding protein 4)
Q8W4J9	Cell membrane.		-3.16	0	6.64	Disease resistance protein RPP8 (Resistance to Peronospora parasitica protein 8)
O81488	Nucleus.		-1.74	0	-1.34	PHD finger protein ALFIN-LIKE 4 (Protein AL4)
Q9CAH5	Cell membrane; Multi-pass membrane protein.	TRUE	2.64	0	2.96	Polyprenol reductase 1 (EC 1.3.1.94)
Q9C8G6	Unknown		-2.21	0	3.26	Alpha/beta-Hydrolases superfamily protein (Lipase, putative)
Q8L607	Mitochondrion.		-0.92	0	5.06	Short integuments 2, mitochondrial (DAR GTPase 1)
A0A1P8BDS3	Golgi_body	TRUE	0.95	0	1.51	NAD(P)-binding Rossmann-fold superfamily protein
Q9SZJ5	Mitochondrion. Cytoplasm.		1.05	0	1.4	Serine hydroxymethyltransferase 1, mitochondrial (AtSHMT1) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 1) (Serine Transhydroxymethyltransferase) (STM) (Serine methylase 1)
Q9SY76	Membrane; Multi-pass membrane protein.	TRUE	1.7	0	3.12	Ankyrin repeat family protein (At1g10340/F14N23_22) (F14N23.22)
Q9M2H7	Nucleus. Cytoplasm.		2.78	0	-2.11	Protein PELOTA 2 (AtPelota2) (EC 3.1.-.-)
O65787	Membrane; Single-pass membrane protein.	TRUE	0.75	0	1.28	Cytochrome P450 71B6 (EC 1.14.-.-)
Q4V3C8	Cytoplasm. Membrane; Peripheral membrane protein. Membrane-associated after cell stimulation leading to its translocation.		-1.7	0	-2.42	3-phosphoinositide-dependent protein kinase 2 (AtPDK2) (EC 2.7.11.1)
Q43731	Secreted.		0.97	0	1.94	Peroxidase 50 (Atperox P50) (EC 1.11.1.7) (ATP9a) (PRXR2)
F4IN63	Nucleus		0.72	0	4.8	Oxidoreductase, 2OG-Fe(II) oxygenase family protein
Q0WTF4	Membrane; Single-pass membrane protein.	TRUE	-1.1	0	1.87	Cytochrome P450 81F3 (EC 1.14.-.-)
F4IHR4	Plastid, chloroplast stroma. Targeted to the chloroplast via a protein-targeting pathway that uses the secretory system.		1.76	0	2.72	Alpha carbonic anhydrase 2 (AtaCA2) (AtalphaCA2) (EC 4.2.1.1) (Alpha carbonate dehydratase 2)
F4JZQ4	Extracellular		1.47	0	2.67	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
Q9ZQ38	Unknown		0	6.64	6.64	Expressed protein (Ubiquitin-associated protein (DUF1068)) (Uncharacterized protein At2g24290)
Q9LFG1	Cell membrane; Single-pass membrane protein.	TRUE	0	3.14	-6.64	Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At3g53590 (EC 2.7.11.1)
Q9SX79	Nucleus. Cytoplasmic granule.		0	-6.64	-2.58	Polyadenylate-binding protein RBP47C (Poly(A)-binding protein RBP47C) (RNA-binding protein 47C) (AtRBP47C)
Q8GXC5	Nucleus		0	-6.33	-2.57	DNA-binding protein (Putative DNA-binding protein) (Zinc knuckle (CCHC-type) family protein)
A0A2H1ZE50	Extracellular	TRUE	0	6.64	-6.64	Lectin receptor kinase a4.1
Q9LZG4	Endoplasmic reticulum membrane. Membrane; Multi-pass membrane protein.	TRUE	0	-6.64	6.64	Polyprenol reductase (EC 1.3.1.94)
F4JY73	Membrane; Multi-pass membrane protein.	TRUE	0	-6.64	6.64	Rhomboid-related intramembrane serine protease family protein
P02666	Secreted.		0	-3.32	-1.67	Beta-casein [Cleaved into: Casoparan; Antioxidant peptide; Casohypotensin]
F4IZ80	Cell membrane; Single-pass membrane protein. Cytoplasm.	TRUE	0	6.64	-2.08	Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 10 (AthCYSTM10) (Protein WINDHOSE 3)
Q7PC85	Membrane; Multi-pass membrane protein.	TRUE	0	-4.24	-2.38	ABC transporter G family member 38 (ABC transporter ABCG.38) (AtABCG38) (Pleiotropic drug resistance protein 10)
O49340	Membrane; Single-pass membrane protein.	TRUE	0	2.76	2.51	Cytochrome P450 71A12 (EC 1.14.-.-)
Q8LGA5	Membrane; Single-pass membrane protein.	TRUE	0	2.44	2.05	E3 ubiquitin-protein ligase ATL31 (EC 2.3.2.27) (Protein CARBON/NITROGEN INSENSITIVE 1) (Protein SUPER SURVIVAL 1) (RING-H2 finger protein ATL31) (RING-type E3 ubiquitin transferase ATL31)
Q9LII1	Unknown		0	-3.35	-3.49	Nucleic acid-binding, OB-fold-like protein
F4J3F3	Mitochondrion		0	3.59	-1.82	ARM repeat superfamily protein
C0Z2A9	Unknown		0	-2.59	4.4	AT1G29120 protein (Hydrolase-like protein family)
B3H5W6	Nucleus		0	2	2.19	AT5G35180 protein (ENHANCED DISEASE RESISTANCE protein (DUF1336))
P60112	Mitochondrion membrane; Multi-pass membrane protein.	TRUE	0	4.71	-2.74	ATP synthase subunit 9, mitochondrial (Lipid-binding protein)
A0A1I9LN67	Extracellular	TRUE	0	4	2.97	Major facilitator superfamily protein
F4I0N7	Secreted.		0	-2.04	-1.64	GAST1 protein homolog 1
Q9FGV4	Cytoplasm		0	-2.6	2.36	Acetyl-CoA:benzylalcohol acetyltranferase-like protein (At5g47950) (HXXXD-type acyl-transferase family protein) (Putative acetyl-CoA:benzylalcohol acetyltranferase)
Q9SS48	Mitochondrion inner membrane; Peripheral membrane protein.		0	-1.59	1.66	Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial (EC 1.1.5.3) (Protein SUGAR-DEPENDENT 6)
O80823	Membrane; Single-pass membrane protein.	TRUE	0	3.04	3.59	Cytochrome P450 86A8 (EC 1.14.14.1) (Protein LACERATA)
F4JWQ4	Nucleus		0	-3.07	-2.3	Ubiquitin-like superfamily protein
Q9LW27	Membrane; Single-pass membrane protein.	TRUE	0	1.77	1.46	Bifunctional dihydrocamalexate synthase/camalexin synthase (EC 1.14.19.52) (Cytochrome P450 71B15) (Dihydrocamalexate:NADP(+) oxidoreductase (decarboxylating)) (Protein PHYTOALEXIN DEFICIENT 3)
Q9LTL8	Membrane; Single-pass membrane protein.	TRUE	0	-1.67	6.64	Cytochrome P450 71B24 (EC 1.14.-.-)
P19171	Vacuole.		0	1.79	2.19	Basic endochitinase B (EC 3.2.1.14) (Pathogenesis-related protein 3) (AtChiB) (PR-3)
Q9C5U2	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	2.62	3.08	Histidine kinase 2 (EC 2.7.13.3) (Arabidopsis histidine kinase 2) (AtHK2) (Protein AUTHENTIC HIS-KINASE 2)
Q8GX94	Chloroplast, Nucleus	TRUE	0	-2.03	2.52	Leucine-rich repeat protein kinase family protein (Leucine-rich repeat receptor-like protein kinase) (Putative receptor like protein kinase)
O22224	Nucleus envelope. Nucleus, nuclear pore complex.		0	-1.03	1.62	Nuclear pore complex protein NUP93A (Nucleoporin 93A)
Q9LEX5	Mitochondrion.		0	-1.67	2.16	Pentatricopeptide repeat-containing protein At3g60980, mitochondrial
O64718	Membrane; Single-pass membrane protein.	TRUE	0	1.79	1.94	Cytochrome P450 71B9 (EC 1.14.-.-)
Q9C911	Nucleus.		0	3.02	4.63	DNAJ protein JJJ1 homolog (AtJJJ1)
O24658	Extracellular		0	-3.11	2.49	Endochitinase At2g43590 (EC 3.2.1.14)
F4K6P2	Membrane; Multi-pass membrane protein.	TRUE	0	2.14	4.94	Respiratory burst oxidase homolog A
Q43387	Secreted.		0	2.47	2.91	Peroxidase 71 (Atperox P71) (EC 1.11.1.7) (ATP15a) (ATPO2)
Q6NMS0	Nucleus.		0	1.79	2.09	Glutathione S-transferase U12 (AtGSTU12) (EC 2.5.1.18) (GST class-tau member 12)
Q9FEA2	Plastid, chloroplast. Mitochondrion.		0	-1.15	2.11	Glutamate--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.17) (AtERS) (Glutamyl-tRNA synthetase) (GluRS) (Protein OVULE ABORTION 3)
Q9MAX3	Cell membrane; Multi-pass membrane protein.	TRUE	0	1.27	1.81	Sulfate transporter 1.2
Q9SH66	Secreted, extracellular space, apoplast.		0	1.62	1.85	Dirigent protein 5 (AtDIR5)
A0A1P8B3K8	Mitochondrion, Chloroplast		0	1.97	-4.99	Protein phosphatase 2C family protein
P42760	Cytoplasm, cytosol.		0	1.89	2.55	Glutathione S-transferase F6 (AtGSTF6) (EC 2.5.1.18) (AtGSTF3) (GST class-phi member 6) (Glutathione S-transferase 1) (AtGST1) (Protein EARLY RESPONSE TO DEHYDRATION 11)
P92995	Secreted, extracellular space, apoplast.		0	1.51	3.26	Germin-like protein subfamily T member 1
Q94AZ2	Cell membrane; Multi-pass membrane protein.	TRUE	0	1.91	2.16	Sugar transport protein 13 (Hexose transporter 13) (Multicopy suppressor of snf4 deficiency protein 1)
Q9FE29	Cell membrane; Multi-pass membrane protein.	TRUE	0	1.33	2.13	CASP-like protein 1D1 (AtCASPL1D1)
P93046	Secreted, cell wall. Secreted, extracellular space, apoplast. Cell membrane.		0	-1.35	-1.78	Xyloglucan endotransglucosylase/hydrolase protein 31 (At-XTH31) (AtXTR8) (XTH-31) (EC 2.4.1.207) (EC 3.2.1.151)
Q9LFV3	Cell membrane; Single-pass membrane protein.	TRUE	0	1.24	1.83	Calcium/calmodulin-regulated receptor-like kinase 2 (AtCRLK2) (EC 2.7.11.1)
Q9M3C8	Secreted, extracellular space, apoplast.		0	-2.28	5.93	Dirigent protein 24 (AtDIR24)
C0SUW7	Nucleus.		0	1.7	-2.95	AT-rich interactive domain-containing protein 6 (ARID domain-containing protein 6)
F4K4E3	Cytoplasm. Nucleus.		0	-1.01	-1.35	Sm-like protein LSM4 (AtLSM4) (Protein EMBRYO DEFECTIVE 1644) (U6 snRNA-associated Sm-like protein LSM4)
Q9SRY5	Cytoplasm, cytosol.		0	1.21	2.34	Glutathione S-transferase F7 (EC 2.5.1.18) (AtGSTF8) (GST class-phi member 7) (Glutathione S-transferase 11)
O48963	Cell membrane; Peripheral membrane protein. Cytoplasm.		0	-1.95	-3.13	Phototropin-1 (EC 2.7.11.1) (Non-phototropic hypocotyl protein 1) (Root phototropism protein 1)
Q9ZU91	Cell membrane; Lipid-anchor, GPI-anchor.		0	-1.56	-2.43	Glucan endo-1,3-beta-glucosidase 3 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 3) ((1->3)-beta-glucanase 3) (Beta-1,3-endoglucanase 3) (Beta-1,3-glucanase 3)
P11832	Chloroplast		0	-0.97	-1.41	Nitrate reductase [NADH] 1 (NR1) (EC 1.7.1.1)
Q9FNG3	Cytoplasm.		0	2.18	6.64	Protein RISC-INTERACTING CLEARING 3'-5' EXORIBONUCLEASE 2 (EC 3.1.13.1) (DnaQ-like 3'-5' exonuclease domain-containing protein) (AtDECP)
O22718	Cytoplasm, cytosol.		0	-1.52	-2.38	ATP-citrate synthase alpha chain protein 2 (ATP-citrate synthase A-2) (EC 2.3.3.8) (ATP-citrate lyase A-2) (Citrate cleavage enzyme A-2)
Q8L9Y2	Cytoplasm. Nucleus.		-4.49	0	0	Elongator complex protein 6 (AtELP6) (Elongator component 6) (UPF0405 protein ELP6)
Q8LDK5	Chloroplast		5.24	6.22	0	At5g27820 (Ribosomal L18p/L5e family protein)
Q9LD40	Cell membrane; Multi-pass membrane protein.	TRUE	6.64	2.25	0	Putative cyclic nucleotide-gated ion channel 13 (Cyclic nucleotide- and calmodulin-regulated ion channel 13)
Q501F8	Membrane; Multi-pass membrane protein.	TRUE	-6.64	-6.64	0	WAT1-related protein At4g08300
Q9FIM9	Cell membrane; Lipid-anchor; Cytoplasmic side.		-2.16	0	0	CDPK-related kinase 4 (AtCRK4) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK4)
O64380	Cytoplasm. Nucleus.		-6.64	-6.64	0	Polyadenylate-binding protein 3 (PABP-3) (Poly(A)-binding protein 3)
Q1PE83	Nucleus	TRUE	3.72	3.36	0	ARM repeat superfamily protein
Q9SLG3	Cell membrane; Multi-pass membrane protein.	TRUE	-5.76	-2.4	0	Zinc transporter 3 (ZRT/IRT-like protein 3)
Q38896	Cytoplasm. Nucleus, nucleolus. Nucleus.		2.14	1.63	0	Cold shock domain-containing protein 4 (AtCSP4) (Glycine-rich protein 2b) (AtGRP2b)
Q8RY65	Cell membrane; Single-pass type I membrane protein.	TRUE	3.18	0	0	Protein NSP-INTERACTING KINASE 2 (EC 2.7.11.1) (LRR receptor-like serine/threonine-protein kinase NIK2)
Q9C5M5	Unknown		3.14	0	0	At1g27000/T7N9_6 (GRIP/coiled-coil protein, putative (DUF1664)) (Uncharacterized protein At1g27000)
A0A178UE66	Unknown		-3.25	-2.47	0	Cysteine and histidine-rich domain-containing protein RAR1
Q93WF1	Extracellular		-3.11	0	0	Probable pectate lyase 20 (EC 4.2.2.2)
